step,s_now,dist_to_turn,turn_angle,corner_phase,corner_mode,v_ratio_cmd,v_ratio_cap_brake,v_ratio_cap_ang,v_ratio_cap,v_ratio_exec,speed_util,e_n,omega_exec,dkappa_exec,stall_triggered,progress
31,7.801093304371531,2.1989066956284686,1.5707963267948966,1,0,0.020977189285511032,0.1527887370265879,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.005245887006837824,0.6597344572538566,0.014136132488136853,0,0.2600364434790505
32,7.934379970922885,2.065620029077115,1.5707963267948966,1,0,0.020781751428408827,0.1483619681491682,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.008764055992870789,0.8796459430051421,0.016492154569492996,0,0.26447933236409565
33,8.06761832450589,1.9323816754941099,1.5707963267948966,1,0,0.02062540114272706,0.14379988500545213,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.013789404525678714,1.1309733552923256,0.018848176650849133,0,0.26892061081686247
34,8.200772322011312,1.7992276779886875,1.5707963267948966,1,0,0.02050032091418165,0.139089983074811,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.020697800990266062,1.413716694115407,0.021204198732205262,0,0.27335907740037657
35,8.333787080497807,1.6662129195021933,1.5707963267948966,1,0,0.02040025673134532,0.13421804430365158,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.029905787641294132,1.7278759594743862,0.02356022081356142,0,0.2777929026832597
36,8.46658608972028,1.5334139102797195,1.5707963267948966,1,0,0.020320205385076257,0.1291678591284691,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.04182787399039513,2.0420352248333655,0.023560220813561406,0,0.2822195363240088
37,8.599067356400004,1.4009326435999956,1.5707963267948966,1,0,0.020256164308061007,0.12392072360831057,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.05687536455600514,2.356194490192345,0.023560220813561433,0,0.28663557854666627
38,8.731099617611262,1.268900382388738,1.5707963267948966,1,0,0.020204931446448807,0.11845477226692921,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.07545478846603254,2.670353755551324,0.023560220813561406,0,0.29103665392037487
39,8.862518657510298,1.1374813424897017,1.5707963267948966,1,0,0.020163945157159045,0.1127440041008722,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.09796587341104798,2.9845130209103035,0.023560220813561406,0,0.29541728858367605
40,8.99312377153409,1.0068762284659094,1.5707963267948966,1,0,0.02013115612572724,0.10675682676862928,1.0,0.01333330903916432,0.01333330903916432,0.999999924999869,0.12479900934813948,3.2986722862692828,0.023560220813561433,0,0.29977079238446913
41,9.090286944825557,0.9097130551744428,1.5707963267948966,1,1,0.020104924900581793,0.10045381486767539,0.01,0.01,0.01,0.99999990000001,0.14844890905051195,3.612831551628262,0.11386471191738537,0,0.303009564827518
42,9.186446718126644,0.8135532818733555,1.5707963267948966,1,1,0.020083939920465435,0.09549522076289751,0.01,0.01,0.01,0.99999990000001,0.1758951838192928,3.9269908169872414,0.03141278525737223,0,0.3062148906042209
43,9.281356332625673,0.7186436673743266,1.5707963267948966,1,1,0.02006715193637235,0.09032020513453046,0.01,0.01,0.01,0.99999990000001,0.2073938357848233,4.241150082346221,0.03141278525737218,0,0.3093785444208552
44,9.374733126579176,0.6252668734208235,1.5707963267948966,1,1,0.020053721549097882,0.08490372966220844,0.01,0.01,0.01,0.99999990000001,0.24318174367233295,4.5553093477052,0.03141278525737218,0,0.3124911042193053
45,9.466257243841268,0.5337427561587322,1.5707963267948966,1,1,0.020042977239278306,0.07921411093371143,0.01,0.01,0.01,0.99999990000001,0.2834723872436992,4.869468613064179,0.03141278525737223,0,0.31554190812804167
46,9.555570844141233,0.4444291558587672,1.5707963267948966,1,1,0.020034381791422647,0.07320952259369971,0.01,0.01,0.01,0.99999990000001,0.3284510577604922,5.183627878423159,0.03141278525737212,0,0.3185190281380405
47,10.37826956829444,9.621730431705531,1.5707963267948966,0,1,0.020027505433138117,0.06683186511984966,0.01,0.01,0.01,0.99999990000001,0.3577220857423189,5.497787143782138,0.03141278525737223,0,0.34594231894314736
48,10.44673322555385,9.553266774446122,1.5707963267948966,0,0,0.023221959230169533,0.3102249360607,1.0,0.03999974935366133,0.0125,0.3125019503741935,0.2531384941293595,5.811946409141117,0.084805222754264,0,0.3482244408517943
49,10.551366597588915,9.448633402411057,1.5707963267948966,0,0,0.025777522267794666,0.30911951472087834,1.0,0.03999974935366133,0.0175,0.4375027305238709,0.11286427177695657,6.126105674500097,0.1148753403171115,0,0.3517122199196298
50,10.713130587981276,9.286869412018696,1.5707963267948966,0,0,0.027821972697894774,0.30742241405096127,1.0,0.03999974935366133,0.025,0.625003900748387,-0.07774635597590596,6.283185307179586,0.0987258193398382,0,0.35710435293270854
51,10.917463739737833,9.082536260262138,1.5707963267948966,0,0,0.02945753304197486,0.30478008589308625,1.0,0.03999974935366133,0.02945753304197486,0.7364429223063513,-0.289931624986588,6.283185307179586,0.03802821521392641,0,0.3639154579912604
52,11.144366887636433,8.855633112363538,1.5707963267948966,0,0,0.030765981317238927,0.30140930516397707,1.0,0.03999974935366133,0.030765981317238927,0.769154333345053,-0.4977043905622871,6.283185307179586,0.009070692058395613,0,0.37147889625454705
53,11.39201707514504,8.607982924854932,1.5707963267948966,0,0,0.03181273993745018,0.2976214672372366,1.0,0.03999974935366133,0.03181273993745018,0.7953234621760142,-0.6973902109395382,6.283185307179586,0.006719342830894898,0,0.3797339025048339
54,11.658553039164666,8.341446960835306,1.5707963267948966,0,0,0.032650146833619186,0.2934314841412888,1.0,0.03999974935366133,0.03265014683361918,0.8162587652407832,-0.8859685466778124,6.283185307179586,0.005065277404085605,0,0.38861843463882145
