episode_idx,rmse_error,mean_jerk,roughness_proxy,mean_velocity,max_error,mean_kcm_intervention,steps,progress
0,0.26205168011897423,19271.365043796184,332737.3152870927,9.373479661981477,0.7716463107891742,0.6729434447111047,47,0.09432882848300994
1,0.27771589431011084,20274.53024521456,370854.82512580603,8.964368725841156,0.7567180072333017,0.5024104464256716,45,0.08677993209096496
2,0.36310028924403503,16593.07517030568,466234.94212224043,10.870700905729555,0.797922759169046,0.8116860368668375,48,0.19438063570821418
3,0.25832426966623573,19554.438834900084,405771.56141969585,8.329186049008374,0.761681524774808,0.8106940535462052,50,0.08928966125488805
4,0.31266801422527574,19449.929267877287,329652.1602986167,9.084473597942345,0.7824476694427088,0.6311070410612645,42,0.0825337522679683
5,0.31458281478857547,22387.31510935262,632072.6518274612,8.8513706703629,0.7843667049739982,0.8063521224168408,64,0.13664924294085543
6,0.22002620883396934,21276.0755329243,720823.6377682356,7.35467226490765,0.8088236038917311,0.6941350910615692,63,0.09862273025634107
7,0.2089230179888321,18509.294121129056,1038552.2017726778,7.307112232362373,0.7568740074625758,0.8862293698688084,80,0.12393586828646225
8,0.37123032800076106,21085.23127550093,642861.0736950182,8.666691919234655,0.8038993174809541,1.0400508890557247,67,0.1313887759876426
9,0.27886608535437524,20821.183742248166,506902.0180932542,8.604564597725672,0.7505030555716746,0.6180965566925727,48,0.08961608476714504
10,0.2969961628395139,23309.108341361174,417267.1375863289,8.446095740121015,0.8135557689827126,0.7064368936061429,50,0.08866995385863456
11,0.25544364235968653,19007.17831558098,478458.35070077935,8.643757098284706,0.7745543549028192,0.6958836148576331,49,0.08960520895894744
12,0.44289261948031017,16055.064324421724,523347.9503860955,8.237890323805722,0.7574030825754772,0.8510575473178249,73,0.1209235571253173
13,0.2835747515265655,25000.0,100000.0,13.479895431917093,0.771689192611042,0.7317416596848845,22,0.18226422955882388
14,0.28617823763993006,20004.406673553505,436988.0818459282,8.737768488783061,0.8162291512888394,0.44770408954395774,49,0.08948601370084801
