episode_idx,env_step,reward,contour_error,jerk,kcm_intervention
0,1,-0.6180633313917749,1.570796300956333e-05,50000.0,0.1100332045510683
0,2,-0.9578470114308709,0.00020420347261491215,50000.0,0.2923719224289332
0,3,-1.2315547111943728,0.0011466797183787812,50000.0,0.4428332862958584
0,4,-0.0986050997168429,0.003767842630280571,-32826.221033658956,0.5245151566968156
0,5,-1.860389502610803,0.008629699294973823,-50000.0,0.6083863675226117
0,6,-2.12826127652085,0.014630461453645268,-50000.0,0.5725512209804323
0,7,0.2695022015350709,0.023297777324098972,-17173.778966341048,0.48816341573532424
0,8,0.26253527369986596,0.03484184930899863,-13434.23391122826,0.39401297553417247
0,9,-1.0240940173043833,0.048588255398360716,-25000.0,0.27637833932347905
0,10,-1.5098729013366698,0.06579490376904515,25000.0,0.17794071626656355
0,11,-2.3782652704932064,0.0849400567353624,-25000.0,0.24193801971814144
0,12,-3.0563804229802245,0.10779495909504115,25000.0,0.18328229947199023
0,13,0.3246458206720667,0.13750182246269588,25000.0,0.04272988191996544
0,14,-19.423008917818212,0.17903265854954806,25000.0,0.1227198040975757
0,15,-20.0,0.23963713599008352,25000.0,0.2750582876532111
0,16,-20.0,0.31289382076457795,-50000.0,0.15851129301099265
0,17,-20.0,0.39425397279708646,-29091.914798720496,0.06917950346897367
0,18,-20.0,0.49034700429764394,25000.0,0.023365806856181764
0,19,-20.0,0.6034563486515898,2578.44612984627,0.07663700412567112
0,20,-20.0,0.6674803038666087,-50000.0,1.0169642334454287
0,21,-20.0,0.7392506874483096,39947.70258010249,0.27852682491592856
0,22,-20.0,0.8189534397465927,0.0,0.35724889383056974
1,1,-0.9229798026346797,1.570796300956333e-05,50000.0,0.26249144017252063
1,2,-0.7742798810079216,0.00010995573641600192,50000.0,0.2071022109642897
1,3,-1.0674560993194517,0.0002984512832288791,50000.0,0.38405013536525395
1,4,-0.8979310954325797,0.0002984512832288791,-50000.0,0.33486270322339756
1,5,-1.1781870967317982,0.0003961133789481173,-50000.0,0.47374249695817067
1,6,-1.407104252803103,0.001951936141295177,-50000.0,0.5241520453027567
1,7,-1.0755429105084213,0.004623734270098687,-50000.0,0.2687302111159887
1,8,-1.8392051140242451,0.00756793841602061,-50000.0,0.5342196949159514
1,9,-0.8230719061404349,0.010649596548557579,38434.233911228264,0.3795009295816839
1,10,-2.1717459000153196,0.014670069628924497,50000.0,0.47703227379514007
1,11,1.674850219582145,0.019601317407676844,-1868.4678224565232,0.3239061758251158
1,12,0.2211437166737593,0.026150301597353386,13434.23391122826,0.4079296318688369
1,13,-0.7542655200166483,0.03283355572715199,-25000.0,0.23453161212978937
1,14,-1.3696295373316882,0.041334886889727536,25000.0,0.3096487090973421
1,15,2.354910325244314,0.0490626373925323,-25000.0,0.22083947806631746
1,16,-1.5937452732551416,0.0514771024101825,-25000.0,0.047618675343957924
