episode_idx,env_step,reward,contour_error,velocity,acceleration,jerk,kcm_intervention
0,1,-0.9000002045201355,1.570796300956679e-05,5.0,500.0,50000.0,0.48276828978589037
0,2,-0.7000021290929248,0.0001570796114919028,15.0,1000.0,50000.0,0.6248443919653095
0,3,-0.4000128129348688,0.0007225659542703285,30.0,1500.0,50000.0,0.7556796130051922
0,4,-7.142510650637313e-05,0.0022933596972100124,50.0,2000.0,50000.0,0.8292508962410419
0,5,0.4996370530201788,0.005827638351740192,75.0,2500.0,50000.0,0.8534773608737487
0,6,1.0985909670683376,0.012095078478109058,105.0,3000.0,50000.0,0.9472356974917908
0,7,1.7952462201813923,0.022650729780608832,140.0,3500.0,50000.0,0.7277695152673603
0,8,2.5857126431038613,0.03961507896026778,180.0,4000.0,50000.0,0.44462915548816334
0,9,2.9644079804772034,0.06286277649598104,200.00374595443446,3500.0,-50000.0,0.2034439081892863
0,10,1.7682571370940172,0.08196777407095462,141.43010626913264,3000.0,-50000.0,0.527460397460919
0,11,0.09396792028459622,0.09351164403186667,76.55556664665214,2500.0,-50000.0,0.03679857580000436
1,1,-0.9000002045201355,1.570796300956679e-05,5.0,500.0,50000.0,0.48585403501987456
1,2,-0.7000021290929248,0.0001570796114919028,15.0,1000.0,50000.0,0.46238640715989915
1,3,-0.4000128129348688,0.0007225659542703285,30.0,1500.0,50000.0,0.6348382002883661
1,4,-7.142510650637313e-05,0.0022933596972100124,50.0,2000.0,50000.0,0.7516132525096042
1,5,0.4996370530201788,0.005827638351740192,75.0,2500.0,50000.0,0.7785118775601063
1,6,1.098421160869206,0.012754799901917717,105.0,3000.0,50000.0,0.7785443274956753
1,7,1.794150347010572,0.025069684286321055,140.0,3500.0,50000.0,0.729706131900832
1,8,2.581170908658014,0.045426770695704735,180.0,4000.0,50000.0,0.6298914487894074
1,9,2.9510194773350764,0.07370088207095427,200.005088170405,3500.0,-50000.0,0.4915526433459786
1,10,1.7420480973114412,0.09813767560141112,141.4338187615007,3000.0,-50000.0,0.35503403110796716
1,11,0.056559527242097785,0.11377150536869675,76.56536066160389,2500.0,-50000.0,0.18080376853440605
2,1,-0.9000002045201355,1.570796300956679e-05,5.0,500.0,50000.0,0.31475532591342925
2,2,-0.7000002472884201,6.283185203826717e-05,15.0,1000.0,50000.0,0.2898923960253935
2,3,-0.4000000350919256,6.283185203826717e-05,30.0,1500.0,50000.0,0.5004516933889873
2,4,-3.5091925698615967e-08,6.283185203826717e-05,50.0,2000.0,50000.0,0.4816071710333102
2,5,0.49999893682430807,0.000298451297181769,75.0,2500.0,50000.0,0.5851140475398926
2,6,1.0999961897845059,0.0006283185203826716,105.0,3000.0,50000.0,0.6423506331304174
2,7,1.7999964908074397,0.0006283185203826716,140.0,3500.0,50000.0,0.7487714023536935
2,8,2.599996253937415,0.0005026547604948408,180.0,4000.0,50000.0,0.733843409750021
2,9,2.9998723082818994,0.00364424630048168,200.00001135254442,3500.0,-50000.0,0.6611106137700353
