episode_idx,total_reward,actor_loss,critic_loss,epsilon
0,-187.4543903253278,-0.09232655167579651,0.319007009267807,0.5
1,-250.2644611551606,-0.1051999107003212,0.4003724455833435,0.5
2,-269.83596200356,-0.08435289561748505,0.4010958969593048,0.5
3,-374.7872656571592,-0.04331007972359657,0.40603339672088623,0.5
4,-271.70726845141104,-0.056326817721128464,0.28744226694107056,0.5
5,-435.93773812729506,-0.07239305973052979,0.4893394112586975,0.5
6,-1463.951085748227,-0.007969907484948635,0.47262296080589294,0.5
7,-943.353213299929,0.0035977140069007874,0.5151153206825256,0.5
8,-801.5189168706534,-0.009774924255907536,0.5140166878700256,0.5
9,-788.3715205693014,-0.0313088484108448,0.370736688375473,0.5
