timestamp,position_x,position_y,reference_x,reference_y,velocity,acceleration,jerk,contour_error,kcm_intervention
0.0,1.999999999999e-05,-2.0000000002792228e-11,1.9999999999989996e-05,0.0,0.02,20.0,20000.0,2.0000000002792224e-11,1.6974739062751698
0.001,7.999999999972e-05,-2.0000000000103693e-10,7.999999999972e-05,0.0,0.06,40.0,20000.0,2.0000000000103693e-10,1.677438505877664
0.002,0.00019999999999755999,-9.199999999907757e-10,0.00019999999999755996,0.0,0.12,60.0,20000.0,9.199999999907758e-10,1.9978450703414485
0.003,0.00035999999998955997,-2.519999999974591e-09,0.0003599999999895599,0.0,0.16,40.0,-20000.0,2.519999999974591e-09,1.0000084505690812
0.004,0.0005799999999648099,-5.8199999998236105e-09,0.0005799999999648099,0.0,0.22,60.0,20000.0,5.8199999998236105e-09,1.9417889399489279
0.005,0.0008799999999106599,-1.1519999999478034e-08,0.0008799999999106597,0.0,0.3,80.0,20000.0,1.1519999999478034e-08,1.289433819788497
0.006,0.00127999999979546,-2.1119999998477217e-08,0.00127999999979546,0.0,0.4,100.0,20000.0,2.1119999998477213e-08,1.9921802813657945
0.007,0.0017999999995614601,-3.671999999623941e-08,0.0017999999995614597,0.0,0.52,120.0,20000.0,3.671999999623941e-08,1.0629714829366437
0.008,0.00245999999910969,-6.113999999056377e-08,0.00245999999910969,0.0,0.66,140.0,20000.0,6.113999999056377e-08,0.40142940465595395
0.009000000000000001,0.0032799999983516,-9.639999997952824e-08,0.0032799999983515998,0.0,0.8200000000000001,160.0,20000.0,9.639999997952824e-08,1.1726132293750036
0.01,0.0042399999971516,-1.4439999995941637e-07,0.0042399999971515995,0.0,0.9600000000000001,140.0,-20000.0,1.4439999995941637e-07,1.0016422528454052
0.011,0.00535999999526776,-2.0935999992312262e-07,0.0053599999952677595,0.0,1.12,160.0,20000.0,2.0935999992312262e-07,1.3322877838046678
0.012,0.006659999992521511,-2.9385999986388547e-07,0.006659999992521509,0.0,1.3,180.0,20000.0,2.9385999986388547e-07,1.46433387325715
0.013000000000000001,0.008159999988524761,-4.0335999976661583e-07,0.008159999988524761,0.0,1.5,200.0,20000.0,4.0335999976661583e-07,1.605854442679072
0.014,0.00987999998274212,-5.443999996084116e-07,0.009879999982742119,0.0,1.72,220.0,20000.0,5.443999996084116e-07,1.9697492946664648
0.015,0.011839999974447402,-7.24719999354003e-07,0.011839999974447402,0.0,1.96,240.0,20000.0,7.247199993540031e-07,1.1956324157410694
0.016,0.014059999962671411,-9.533799989501075e-07,0.014059999962671411,0.0,2.2199999999999998,260.0,20000.0,9.533799989501075e-07,0.8550541751655814
0.017,0.01655999994614016,-1.2408799983166276e-06,0.016559999946140158,0.0,2.5,280.0,20000.0,1.2408799983166274e-06,1.458783820948729
0.018000000000000002,0.019359999923202562,-1.599279997338315e-06,0.01935999992320256,0.0,2.8,300.0,20000.0,1.5992799973383152e-06,1.9516281672842375
0.019,0.022479999892626563,-2.0360799959115254e-06,0.02247999989262656,0.0,3.1199999999999997,320.0,20000.0,2.0360799959115254e-06,0.9713602436113871
0.02,0.025939999852128994,-2.5654599938463908e-06,0.025939999852128994,0.0,3.4599999999999995,340.0,20000.0,2.5654599938463908e-06,1.9410492937069401
0.021,0.029759999798861004,-3.203399990880399e-06,0.029759999798861004,0.0,3.8199999999999994,360.0,20000.0,3.203399990880399e-06,1.1390984543300084
0.022,0.033959999729300604,-3.967799986660933e-06,0.033959999729300604,0.0,4.199999999999999,380.0,20000.0,3.967799986660933e-06,1.929033800357275
0.023,0.038559999639131405,-4.8785999807104215e-06,0.038559999639131405,0.0,4.6,400.0,20000.0,4.8785999807104215e-06,1.9224873212678046
0.024,0.043539999524031155,-5.949299972460844e-06,0.04353999952403115,0.0,4.9799999999999995,380.0,-20000.0,5.949299972460844e-06,1.0155816872352426
0.025,0.048879999379079525,-7.193519961203734e-06,0.048879999379079525,0.0,5.34,360.0,-20000.0,7.193519961203734e-06,0.5207727030844175
0.026000000000000002,0.05459999919745809,-8.634959945948339e-06,0.05459999919745809,0.0,5.72,380.0,20000.0,8.634959945948339e-06,1.1710762784871132
0.027,0.06071999897106705,-1.0299599925421165e-05,0.06071999897106705,0.0,6.12,400.0,20000.0,1.0299599925421165e-05,1.1939757034480596
0.028,0.06725999869034083,-1.2215819898004217e-05,0.06725999869034081,0.0,6.54,420.0,20000.0,1.2215819898004217e-05,1.8879676016740747
0.029,0.07423999834404559,-1.441451986164367e-05,0.07423999834404559,0.0,6.98,440.0,20000.0,1.441451986164367e-05,1.8800661929260527
0.03,0.08163999792134279,-1.6915719814020424e-05,0.08163999792134277,0.0,7.4,420.0,-20000.0,1.6915719814020424e-05,1.0202056292349393
0.031,0.08947999740765031,-1.975379975203466e-05,0.0894799974076503,0.0,7.840000000000001,440.0,20000.0,1.9753799752034656e-05,0.5973035838070632
0.032,0.09773999679548107,-2.2933899673473597e-05,0.09773999679548107,0.0,8.260000000000002,420.0,-20000.0,2.2933899673473597e-05,0.3293219287289601
0.033,0.10639999607115434,-2.6475839574722698e-05,0.10639999607115434,0.0,8.660000000000002,400.0,-20000.0,2.6475839574722698e-05,0.9041786534066403
0.034,0.11547999521601812,-3.0416559451011387e-05,0.11547999521601811,0.0,9.080000000000002,420.0,20000.0,3.0416559451011387e-05,1.4950686711638768
0.035,0.12499999420880215,-3.4795759296570695e-05,0.12499999420880213,0.0,9.520000000000001,440.0,20000.0,3.4795759296570695e-05,1.0418778468518615
0.036000000000000004,0.13497999302532887,-3.965601910445479e-05,0.13497999302532887,0.0,9.980000000000002,460.0,20000.0,3.965601910445479e-05,0.2702181764537183
0.037,0.14543999163820215,-4.504291886633182e-05,0.14543999163820215,0.0,10.460000000000003,480.0,20000.0,4.504291886633182e-05,1.8134352043076738
0.038,0.15639999001647292,-5.1005158572259345e-05,0.1563999900164729,0.0,10.960000000000003,500.0,20000.0,5.1005158572259345e-05,1.8038197109580087
0.039,0.16787998812528074,-5.759467821040954e-05,0.1678799881252807,0.0,11.480000000000002,520.0,20000.0,5.759467821040954e-05,1.247644370011596
0.04,0.17989998592547055,-6.486677776678342e-05,0.17989998592547055,0.0,12.020000000000003,540.0,20000.0,6.486677776678342e-05,1.7835112594294031
0.041,0.19247998337318362,-7.28802372248506e-05,0.19247998337318362,0.0,12.580000000000004,560.0,20000.0,7.28802372248506e-05,1.2395579557914782
0.042,0.20559998042839972,-8.16706365671815e-05,0.20559998042839972,0.0,13.120000000000005,540.0,-20000.0,8.16706365671815e-05,1.02456618812843
