episode_idx,rmse_error,mean_jerk,roughness_proxy,mean_velocity,max_error,mean_kcm_intervention,steps,progress
0,0.015005033153428205,19979.381443298967,40000.0,40.86655016510994,0.04484496291161122,1.0314149216125417,970,1.0
1,0.012150795242415188,19950.698438783897,80000.0,32.552679152508944,0.03791653487608038,1.0050905722022279,1217,1.0
2,0.03078363051353329,19993.700280889763,14413.75732421875,34.453694534352415,0.056341117588807645,1.0225257553729283,1144,1.0
3,0.019884061585137298,19982.33215547703,40000.0,34.88613665195863,0.04394586373393672,1.030709396308316,1132,1.0
4,0.018404713114972868,19950.819672131147,80000.0,32.37358740997176,0.041461122472393086,1.008049522253146,1220,1.0
5,0.07056846101603365,19939.984996249063,40000.0,29.37526195038024,0.1123108577591001,0.949513862886411,1333,1.0
6,0.04680133420119006,19943.117178612058,100000.0,22.36907735905319,0.09459802084018223,0.9504700999057144,1758,1.0
7,0.014471973635098804,19962.848297213623,80000.0,24.47289014593082,0.04563490157180928,0.9765528773207494,1615,1.0
8,0.029433415879064784,20000.0,0.0,31.63164603968561,0.06002749272791242,1.0256615591778608,1246,1.0
9,0.058302098327132575,19934.86551704554,236177.6351928711,21.629453655149998,0.07815476908932695,0.9480101352958347,1813,1.0
10,0.06758566906983102,19879.18215613383,280000.0,18.201659220500883,0.09731245231772157,0.9437711820116482,2152,1.0
11,0.03491073083646327,19945.56765163297,240000.0,15.309063815341151,0.06201798169316582,0.9235625561426392,2572,1.0
12,0.011391525463019126,19895.61586638831,439999.9999999999,13.766768741450951,0.034026930806408485,0.9417774031105905,2874,1.0
13,0.03302401775136978,19913.385826771653,200000.00000000297,15.490451489058609,0.05719925415456828,0.9240907450702522,2540,1.0
14,0.02021366404476106,19941.86046511628,159999.99999999988,19.1356849544298,0.03778215530674505,0.9548889281404034,2064,1.0
15,0.028011839474902787,19880.003195067307,330142.6891255816,14.534721263286006,0.058668411670531384,0.9503343971180619,2709,1.0
16,0.020400648415922477,19839.319470699364,322999.4201662795,18.644257820782098,0.035836676976430226,0.9875957235702129,2116,1.0
17,0.015512526556590764,19897.242154832235,333313.2164206975,11.168968047096346,0.028552325130972278,0.9735237122340971,2595,0.7246798073740928
18,0.026681807094239292,19929.43893982894,244659.55896405195,15.230095830703341,0.051618022544642976,0.9411066060179558,2584,1.0
19,0.014817158947939071,19925.820256776035,280000.0,11.262900772628313,0.027538323395766895,1.0185307926479923,3505,1.0
20,0.015317221335372479,19971.387696709586,119999.99999999939,18.863781004041943,0.04850680699839014,0.9793479187052799,2097,1.0
21,0.014444670347961864,19912.917271407845,279999.99999997526,14.321324416970832,0.027050634444137245,0.9710920999883348,2756,1.0
22,0.023947017707578677,19832.127351664254,720000.0,11.425490064485862,0.043741109787905685,0.9474886038154067,3455,1.0
23,0.024369674976737612,19875.13771575468,440000.0000000001,8.456398170740819,0.03792736979054823,0.9548227708456234,2723,0.5787388222406659
24,0.014100921051204822,19867.09869864706,519737.37272653496,14.291948435806493,0.026014194619484957,1.0119109141444733,2766,1.0
25,0.016204272285519416,19899.791231732775,200000.00000000693,16.47975058045105,0.04598178498729772,0.9559129130971338,2395,1.0
26,0.03209421170046515,19863.18939717828,320000.0,7.09937404339187,0.04665950802916363,0.9773637498079661,2339,0.41699144405053307
27,0.018434517791191894,19899.13544668588,440000.00000000006,14.220145856335549,0.043973923337055035,0.918568128406906,2776,1.0
28,0.016653322479391795,19830.0,719999.9999999999,9.452820904723737,0.029825295845633093,0.9284463292862137,4000,0.9481413479573962
29,0.011179203200588779,19838.709677419356,279999.9999999991,7.668302074792641,0.020470483133557833,0.995374579929972,1488,0.28616137837720834
