path_name,env_step,time_s,progress,reward,x,y,contour_error,velocity,acceleration,jerk,omega,angular_acc,angular_jerk,raw_linear_jerk_demand,raw_angular_jerk_demand,kcm_intervention,disable_kcm,cornerness,lookahead_dist_active
butterfly,1,0.001,0.0,-280.0083042440769,-39.423350976111784,13.535062144811102,0.0,0.0,0.0,0.0,6.283185307179586,6283.185307179586,6283185.307179586,0.0,6283185.307179586,0.0,True,0.044850747553518894,1.01
butterfly,2,0.002,0.00043255227501504123,-4114.656988930915,-39.3324832509128,13.57681207316029,0.0016495333861223625,100.0,100000.0,100000000.0,-6.283185307179586,-12566.370614359172,-18849555.92153876,100000000.0,-18849555.92153876,0.0,True,0.08596393281091122,1.01
butterfly,3,0.003,0.000864939414896071,-10876.303994637741,-39.24097177152815,13.617131412698939,0.0048673607827332275,100.0,0.0,-100000000.0,5.283307717693141,11566.493024872727,24132863.639231898,-100000000.0,24132863.639231898,0.0,True,0.15184446085591952,2.2571751320362092
butterfly,4,0.004,0.00109933502972126,-22303.963680591773,-39.190566648839365,13.6373264766314,0.008454900003047465,54.30024862289429,-45699.75137710571,-45699751.37710571,-6.283185307179586,-11566.493024872727,-23132986.04974545,-45699751.37710571,-23132986.04974545,0.0,True,0.21744463730645758,3.017141950130463
butterfly,5,0.005,0.0015342290280386806,-39829.41156386471,-39.09678319860289,13.672034753191081,0.015857885305737014,100.0,45699.75137710571,91399502.75421143,6.283185307179586,12566.370614359172,24132863.639231898,91399502.75421143,24132863.639231898,0.0,True,0.2674553739679586,3.67
butterfly,6,0.006,0.001672670478001237,-408.74421972876894,-39.066515311075825,13.682573257449274,0.017623792733208028,32.05004036426544,-67949.95963573456,-113649711.01284027,5.187746257311884,-1095.4390498677017,-13661809.664226873,-113649711.01284027,-13661809.664226873,0.0,True,0.31080632215865506,2.3637757527828214
butterfly,7,0.007,0.001672670478001237,-57511.10869202009,-39.066515311075825,13.682573257449274,0.017623792733208028,0.0,-32050.040364265442,35899919.271469116,-6.283185307179586,-11470.93156449147,-10375492.514623767,35899919.271469116,-10375492.514623767,0.0,True,0.35207623887067774,3.67
butterfly,8,0.008,0.001749385497532785,-84649.08240665206,-39.04940343420664,13.687587667096233,0.01949474110363103,17.831450700759888,17831.450700759888,49881491.06502533,6.283185307179586,12566.370614359172,24037302.17885064,49881491.06502533,24037302.17885064,0.0,True,0.3899069958566985,3.67
butterfly,9,0.009000000000000001,0.001749385497532785,-96813.03031229302,-39.04940343420664,13.687587667096233,0.01949474110363103,0.0,-17831.450700759888,-35662901.401519775,-6.283185307179586,-12566.370614359172,-25132741.228718344,-35662901.401519775,-25132741.228718344,0.0,True,0.41698196726221054,1.778237255215645
butterfly,10,0.01,0.0018706510309129953,-36104.02187539747,-39.02206328422454,13.694806604862928,0.02321716332242596,28.277143836021423,28277.143836021423,46108594.53678131,0.8371441740036365,7120.329481183223,19686700.095542394,46108594.53678131,19686700.095542394,0.0,True,0.44940391354893694,3.67
