path_name,env_step,time_s,progress,reward,x,y,contour_error,velocity,acceleration,jerk,omega,angular_acc,angular_jerk,raw_linear_jerk_demand,raw_angular_jerk_demand,kcm_intervention,disable_kcm,cornerness,lookahead_dist_active
circle,1,0.001,9.982107440009713e-05,-5.4420903161749,50.00002989595968,0.03135992651712404,0.00013262774769969983,31.359940767288208,31359.940767288208,31359940.767288208,-6.283185307179586,-6283.185307179586,-6283185.307179586,31359940.767288208,-6283185.307179586,0.0,True,0.006256517205425493,1.01
circle,2,0.002,0.0002557775878813118,-100.48957833423054,49.999800336439705,0.08035453190565431,6.357083285083427e-05,48.99514317512512,17635.202407836914,-13724738.359451294,2.9677918064068876,9250.977113586474,15534162.420766061,-13724738.359451294,15534162.420766061,0.0,True,0.018248175182486073,2.0533690696954725
circle,3,0.003,0.0004919063649140298,-26.97651118809522,49.998895014978274,0.15453386641383238,0.000598741771329533,74.18485879898071,25189.71562385559,7554513.216018677,6.070411386097433,3102.6195796905454,-6148357.533895929,7554513.216018677,-6148357.533895929,0.0,True,0.028197775460553895,1.8303813517093657
circle,4,0.004,0.0007899202755652368,-0.3424287578869325,49.99703882218846,0.24815196742548717,0.002148241168144441,93.6365008354187,19451.64203643799,-5738073.587417603,6.283185307179586,212.7739210821531,-2889845.658608392,-5738073.587417603,-2889845.658608392,0.0,True,0.04357475958753838,2.761619554758072
circle,5,0.005,0.001057869871146977,-0.11302849423746544,49.99474085651326,0.3322963603087117,0.004139519599260592,84.17576551437378,-9460.735321044922,-28912377.35748291,6.2574420685617955,-25.74323861779071,-238517.15969994382,-28912377.35748291,-238517.15969994382,0.0,True,0.060798586973317366,3.3019008207321163
circle,6,0.006,0.0013761086156591773,0.0005485801513936545,49.99163546100479,0.43224813127219175,0.0062624835122241295,100.0,15824.23448562622,25284969.806671143,6.283185307179586,25.74323861779071,51486.47723558142,25284969.806671143,51486.47723558142,0.0,True,0.06198855526429437,1.01
circle,7,0.007,0.0016451406991109252,-0.041623162271890876,49.988628068192504,0.5167414490618594,0.008439368276654613,84.54682230949402,-15453.177690505981,-31277412.176132202,6.273893787807652,-9.291519371934065,-35034.75798972477,-31277412.176132202,-35034.75798972477,0.0,True,0.07454964107429836,2.775660755634308
circle,8,0.008,0.0016451406991109252,-893.2724318624986,49.988628068192504,0.5167414490618594,0.008439368276654613,0.0,-84546.82230949402,-69093644.61898804,0.7601994579987946,-5513.694329808857,-5504402.810436923,-69093644.61898804,-5504402.810436923,0.0,True,0.09127773407132164,3.67
circle,9,0.009000000000000001,0.0019633162301033735,-890.0871434652241,49.98473499626736,0.6166656402819323,0.011350241609612734,100.0,100000.0,184546822.30949402,6.283185307179586,5522.985849180792,11036680.178989649,184546822.30949402,11036680.178989649,0.0,True,0.09097052630503424,1.01
circle,10,0.01,0.0021962709724903107,0.01924386324224471,49.98178599715962,0.6897366987340166,0.013353287554755454,73.13054203987122,-26869.457960128784,-126869457.96012878,6.283185307179586,0.0,-5522985.8491807915,-126869457.96012878,-5522985.8491807915,0.0,True,0.09173167205351337,1.4556347948312762
