path_name,env_step,time_s,progress,reward,x,y,contour_error,velocity,acceleration,jerk,omega,angular_acc,angular_jerk,raw_linear_jerk_demand,raw_angular_jerk_demand,kcm_intervention,disable_kcm,cornerness,lookahead_dist_active
butterfly,1,0.001,2.7029020088775724e-07,-0.14501838244718185,-39.42329393701814,13.535087694601623,1.6280973166885327e-06,0.0625,62.5,62500.0,0.001,1.0,1000.0,4479585.587978363,4992888.752463239,0.8386546261991429,False,0.07828990564152995,3.5366310262680054
butterfly,2,0.002,1.080077367987542e-06,-0.14582872560303428,-39.42312046665051,13.535158858367367,1.2476126679505473e-05,0.1875,125.0,62500.0,0.003,2.0,1000.0,4231349.259614944,4995726.2597476905,0.8366238662258887,False,0.15005565247959907,3.5342283844947815
butterfly,3,0.003,2.6960910872730892e-06,-0.14827309130368221,-39.42276939761595,13.535290674652298,4.5435034071746246e-05,0.375,187.5,62500.0,0.006,3.0,1000.0,4016842.767596245,4995859.011039358,0.8344999293299721,False,0.21584092041449576,3.5344069099426267
butterfly,4,0.004,5.382341441872995e-06,-0.15257474875652807,-39.42217875699704,13.53549504847473,0.00011656949570271108,0.625,250.0,62500.0,0.01,4.0,1000.0,3742128.8192272186,4994762.938536737,0.8315783444895027,False,0.27614408268815105,3.5345534086227417
butterfly,5,0.005,9.400761882716324e-06,-0.1594502338288594,-39.42128635823262,13.535782330035675,0.0002434385012299916,0.9375,312.5,62500.0,0.015,5.0,1000.0,3407493.144273758,4992030.578593047,0.8277971191486235,False,0.3314219814390017,3.5346448910236354
butterfly,6,0.006,1.5012067706265952e-05,-0.16971161231539905,-39.4200300762017,13.536162345441657,0.00044404703027154166,1.3125,375.0,62500.0,0.020999999999999998,6.0,1000.0,3012924.5668649673,4987626.353040601,0.8231504791073722,False,0.3820933886272815,3.5346759665012355
butterfly,7,0.007,2.2476475351140834e-05,-0.1841192400824604,-39.41834795086646,13.536644998895556,0.0007362582583973084,1.75,437.5,62500.0,0.027999999999999997,7.0,1000.0,2556430.4292201996,4982211.266784335,0.8177236999859708,False,0.42854217854987126,3.534223310947418
butterfly,8,0.008,3.205419488949701e-05,-0.2036058799379683,-39.41617820754877,13.537240577551433,0.0011375099114560863,2.25,500.0,62500.0,0.036,8.0,1000.0,2041946.1280107498,4974735.951130972,0.8113891235364714,False,0.4711202359789119,3.5341506958007813
butterfly,9,0.009000000000000001,4.400571924634278e-05,-0.22871541454754143,-39.41345924565481,13.537959884488156,0.0016646992434752033,2.8125,562.5,62500.0,0.045,9.0,1000.0,1467427.2239208221,4965880.885350921,0.8042346070052732,False,0.5097488430164856,3.534037175178528
butterfly,10,0.01,5.8591976994648576e-05,-0.26014341137414143,-39.410129615088586,13.5388142652829,0.0023341692757805257,3.4375,625.0,62500.0,0.055,10.0,1000.0,834948.33111763,4956350.142657372,0.7963929532662258,False,0.5451583994675948,3.5338884568214417
butterfly,11,0.011,7.607435691170394e-05,-0.2984273800208277,-39.40612798944066,13.539815573014774,0.003161751946069574,4.125,687.5,62500.0,0.066,11.0,1000.0,140275.65717697144,4945061.397738559,0.7876495669716866,False,0.5776171595477783,3.5337126266956327
butterfly,12,0.012,9.618545300327241e-05,-0.3440214479840103,-39.401514546115806,13.540946342968544,0.004137172008509501,4.75,625.0,-62500.0,0.078,12.0,1000.0,-614567.9652690887,4932650.563528522,0.7904172444401864,False,0.6073710229546131,3.533508733510971
butterfly,13,0.013000000000000001,0.00011865953274536878,-0.3973869687856092,-39.396349877386044,13.542190872261823,0.005248386229389833,5.3125,562.5,-62500.0,0.091,13.0,1000.0,-1154442.4146413803,4923233.8467752235,0.7943172719149256,False,0.6346453977442117,3.53387846827507
butterfly,14,0.014,0.0001432320277672261,-0.45868412197187153,-39.39069483406215,13.54353461377524,0.0064821974615507875,5.8125,500.0,-62500.0,0.105,14.0,1000.0,-1631263.2858753204,4912794.659600227,0.7974240323865028,False,0.6596469079680104,3.534216493368149
butterfly,15,0.015,0.0001696391118457541,-0.5281187215821878,-39.38461042317057,13.544963754811794,0.007824678800979345,6.25,437.5,-62500.0,0.12,15.0,1000.0,-2045022.3833322525,4901397.042705371,0.7997476362927881,False,0.6825649590064926,3.534525187015533
butterfly,16,0.016,0.00019761748262681067,-0.605823787091985,-39.37815774153149,13.54646492924026,0.009261461860480664,6.625,375.0,-62500.0,0.136,16.0,1000.0,-2395732.3729991913,4889084.813412967,0.8012951840370907,False,0.7035731724584346,3.5348062932491304
butterfly,17,0.017,0.00022690408513881266,-0.6918751226538136,-39.37139793338514,13.548025025415033,0.010777928285697336,6.9375,312.5,-62500.0,0.15300000000000002,17.0,1000.0,-2683442.0561790466,4875873.701018201,0.8020696670275194,False,0.7228307014560481,3.5350593364238736
butterfly,18,0.018000000000000002,0.0002572360390331596,-0.7862999311009563,-39.36439216415639,13.54963106207823,0.012359332995087364,7.1875,250.0,-62500.0,0.17100000000000004,18.0,1000.0,-2908183.0978393555,4861796.662139564,0.8020766471224907,False,0.7404834363705272,3.5352814626693725
butterfly,19,0.019,0.00028835059492848814,-0.8890854235307039,-39.357201604963315,13.551270111647607,0.013990880047648332,7.375,187.5,-62500.0,0.19000000000000003,19.0,1000.0,-3069934.6363544464,4846908.749310214,0.8013246775885293,False,0.756665110042133,3.53547156214714
butterfly,20,0.02,0.0003199849452357739,-1.000186038985564,-39.3498874241979,13.5529292559243,0.015657766220534868,7.5,125.0,-62500.0,0.21000000000000002,20.0,1000.0,-3168684.0057373047,4831242.170134584,0.799818757765216,False,0.7714983109077717,3.5356301105022427
butterfly,21,0.021,0.0003518763114698231,-1.1195300348662376,-39.34251078366981,13.554595563449725,0.017345203093159088,7.5625,62.5,-62500.0,0.231,21.0,1000.0,-3204401.7761945724,4814827.25968197,0.7975634213308442,False,0.7850954117012737,3.535758534669876
butterfly,22,0.022,0.0003837619733531028,-1.2470245068014183,-39.33513283763164,13.556256080991911,0.01903842514518353,7.5625,0.0,-62500.0,0.253,22.0,1000.0,-3177111.78958416,4797680.121754583,0.7945614697037179,False,0.7975594207619839,3.535854773521423
butterfly,23,0.023,0.0004153790941927582,-1.3825615563053246,-39.32781473344641,13.55789783345014,0.02072268955386912,7.5,-62.5,-62500.0,0.276,23.0,1000.0,-3086833.417415619,4779803.003394594,0.7908134542268014,False,0.8089847624009683,3.535919461250305
butterfly,24,0.024,0.000446464866399765,-1.5260221914908296,-39.320617613097866,13.559507828384477,0.0223832714568338,7.375,-125.0,-62500.0,0.30000000000000004,24.0,1000.0,-2933564.4245147705,4761198.151644175,0.7863197101762217,False,0.819457992236704,3.5359529149532314
butterfly,25,0.025,0.0004767565114889294,-1.6772801454402522,-39.31360261499505,13.561073062509934,0.02400545731614253,7.1875,-187.5,-62500.0,0.32500000000000007,25.0,1000.0,-2717358.8275909424,4741892.905516389,0.7810851288581406,False,0.8290584529194618,3.535955451726913
butterfly,26,0.026000000000000002,0.0005059911636635661,-1.8362049869287498,-39.30683087570663,13.562580528350242,0.025574538168824386,6.9375,-250.0,-62500.0,0.3510000000000001,26.0,1000.0,-2438309.386372566,4721946.811628736,0.7751201150083618,False,0.8378588752119897,3.535927230119705
butterfly,27,0.027,0.0005339061026461422,-2.00266471524028,-39.3003635313876,13.5640172198478,0.027075803951637927,6.625,-312.5,-62500.0,0.3780000000000001,27.0,1000.0,-2096476.823091507,4701426.1577252215,0.768435825871329,False,0.8459259289801402,3.5358682501316068
butterfly,28,0.028,0.000560238491743803,-2.1765282390412772,-39.294261718731846,13.565370136073602,0.02849453974402215,6.25,-375.0,-62500.0,0.40600000000000014,28.0,1000.0,-1691852.942109108,4680356.410283771,0.7610362326065004,False,0.8533207282676115,3.5357805728912353
butterfly,29,0.029,0.0005847255233675241,-2.3576666303679317,-39.28858657539463,13.566626282702014,0.02981602425563803,5.8125,-437.5,-62500.0,0.43500000000000016,29.0,1000.0,-1224419.116973877,4658749.179022264,0.7529229966933494,False,0.860099294281127,3.5356646740436557
butterfly,30,0.03,0.0006071043899282813,-2.5459547838414527,-39.28339923983299,13.567772670952529,0.031025530849586994,5.3125,-500.0,-62500.0,0.4650000000000002,30.0,1000.0,-694132.8793764114,4636615.699151546,0.744097481588125,False,0.8663129797935161,3.5355211877822876
butterfly,31,0.031,0.000627112400252372,-2.7412722738885607,-39.27876085055154,13.568796313895056,0.03210833119992604,4.75,-562.5,-62500.0,0.4960000000000002,31.0,1000.0,-100968.52481365204,4613959.715741901,0.7345600262922444,False,0.8720088581798728,3.5353497970104213
