episode_idx,rmse_error,mean_jerk,roughness_proxy,mean_velocity,max_error,mean_kcm_intervention,steps,progress
0,0.21402548959180678,19254.73796419313,6617009.669572249,10.618299920018528,0.4418485685403137,4.516654147003616,645,0.99
1,0.43469656028852904,19573.415142450514,2073358.9581591233,8.532718393335454,0.7532598522668525,4.0125517718594965,204,0.4124767462964764
2,0.3805097199237973,16292.889089304163,3420619.394783756,10.577202380213416,0.6341457329741559,4.251309645516482,400,1.0
3,0.4518939536052627,17981.39246155509,1803717.2476913605,9.455617493912904,0.7517016354375237,4.366751391347575,197,0.44176601157249346
4,0.45396797684291074,18148.352045969423,2456141.9519219697,9.857066506267858,0.7535453660829265,4.0856223189977605,241,0.5409863075186881
5,0.4188667208876942,19680.335738232054,1573069.1236766279,8.764317678285432,0.7519982717622042,3.9721607995757005,194,0.4047079827616161
6,0.43499977860711336,20132.85605649293,2061331.1893469377,9.38779397033912,0.7523631924753483,3.9502240642442357,188,0.4205788595586737
7,0.4498536078277864,18557.384976006204,2345138.591218358,8.668304991811569,0.750709072124117,4.194198266067377,216,0.44423860253409303
8,0.38844193016393497,16262.72692631101,3332534.7191411806,10.79710718837432,0.7112621287630064,3.7936151093589845,386,1.0
9,0.4172117130074301,18698.74229144202,1875620.1839083189,9.09874005608859,0.7503436556024602,4.57704139807545,193,0.4173970081012113
10,0.3850084248199672,17157.132314922033,1671552.935757183,10.070002897641784,0.7502771069417697,4.08352420600914,175,0.4227170880884915
11,0.4329582707840314,17591.95406779907,1949124.043668727,9.672449869549844,0.7517873263662693,4.165851851601376,204,0.47803182881042505
12,0.4079104747120152,19853.594076444195,2300741.02840446,9.45473293038299,0.7532969563373051,4.257721525612246,198,0.4455584998557982
13,0.4380069504418918,19085.514093551792,1838838.6780819376,9.726998173398057,0.7547100248369585,4.466186047902582,175,0.40148630749331665
14,0.25300869532432113,16791.875932977975,2844716.0003611357,12.097894439734262,0.47035390714057457,3.9349196130979736,333,1.0
