x,y
0.0,0.0
1.999999999999e-05,-2.0000000002792228e-11
7.999999999996e-05,-8.000000001116891e-11
0.00019999999999972001,-3.199999999912649e-10
0.00035999999999844,-9.60000000007962e-10
0.0005399999999940301,-2.22000000001392e-09
0.0007599999999807201,-4.640000000010281e-09
0.0010399999999532801,-8.559999999932779e-09
0.00139999999989496,-1.5039999999529388e-08
0.0018199999997838702,-2.4699999998722333e-08
0.00231999999957362,-3.91999999967183e-08
0.0028799999992107405,-5.935999999244608e-08
0.0035199999985912203,-8.75199999833169e-08
0.004259999997628851,-1.252599999669738e-07
0.00511999999623178,-1.742799999404069e-07
0.0061199999943097804,-2.3627999990047002e-07
0.00723999999187042,-3.101999998466915e-07
0.008499999988694591,-3.996599997717246e-07
0.009919999984485001,-5.089999996638273e-07
0.011519999978840201,-6.433999995060849e-07
0.013319999971222601,-8.089999992724442e-07
0.015339999961323592,-1.0089799989459207e-06
0.017599999948865342,-1.246279998509931e-06
0.0201199999330599,-1.5285199979201436e-06
0.0229199999135663,-1.8589199971535704e-06
0.02601999988934755,-2.2464199961449294e-06
0.029439999860002238,-2.6944399948638707e-06
0.033199999824199515,-3.2133199932176733e-06
0.03731999978148336,-3.806599991167891e-06
0.04181999973018111,-4.486099988584734e-06
0.046719999668242654,-5.2651999853020946e-06
0.05199999959373129,-6.152239981129173e-06
0.05767999950374873,-7.163279975790273e-06
0.06377999939479968,-8.316179968927805e-06
0.07027999926349643,-9.622679960131252e-06
0.07719999910504227,-1.1103559948829287e-05
0.08455999891708259,-1.2766919934670095e-05
0.09237999869373947,-1.4635899916877879e-05
0.10067999842810213,-1.673579989447444e-05
0.10947999811207654,-1.90941998662442e-05
0.11879999773621958,-2.174107983066469e-05
0.12865999728955665,-2.4708939785848373e-05
0.13907999675938185,-2.8032919729474995e-05
0.15003999613332472,-3.1737399658941105e-05
0.1615599953951001,-3.586155957084467e-05
0.17365999452607206,-4.044745946105903e-05
0.18635999351514573,-4.551475932660349e-05
0.19967999234032174,-5.110915916212929e-05
0.21363999097668104,-5.7279478961220306e-05
0.22825998939607633,-6.407777871622891e-05
0.24355998758173353,-7.152887842170252e-05
0.25955998550093357,-7.968887806796313e-05
0.27623998312273257,-8.859599764464393e-05
0.2936199804266688,-9.82766571440772e-05
0.31171997737174184,-0.00010879275655243863
0.33055997391237885,-0.00012020979585364511
0.35011997000601225,-0.00013257171503070321
0.37041996559806023,-0.00014594941406242688
0.39147996065712115,-0.00016037551293424207
0.4133199551212929,-0.00017592559162040648
0.4359199489334132,-0.00019264959009406194
0.4592999420204034,-0.00021062880832202753
0.48343993431490373,-0.0002299166662698013
0.5083599257312102,-0.00025060026389498206
0.534079916175665,-0.00027277090114935894
0.5605799055620845,-0.0002964883979829705
0.5878798937815757,-0.0003218500943349444
0.6159998807156749,-0.0003489577701364401
0.6449598662356761,-0.0003779177653097705
0.6747798502019258,-0.00040884109976744253
0.7054798324630838,-0.0004418435934110288
0.7370798129256906,-0.00047698278616916816
0.769599791421843,-0.0005143807779260257
0.8030597678497944,-0.0005540977885993456
0.8374797420240414,-0.0005962622780538227
0.8728397137767799,-0.0006409573061523068
0.9091596828972297,-0.0006883185727300019
0.9464596491589186,-0.0007384870576039972
0.9847596124249157,-0.0007915325406451303
1.0240795724467844,-0.0008476028416421877
1.0644395289584079,-0.000906851300361875
1.1058194817206433,-0.0009693764565697783
1.1482394304343433,-0.0010353395299863856
1.1917193747799553,-0.0011049075003040352
1.2362793145630107,-0.0011781641073051556
1.2819392495895539,-0.0012551924907684114
1.3287191795046875,-0.0013361686303294362
1.3765991041637078,-0.0014211077057778069
