episode_idx,total_reward,actor_loss,critic_loss,epsilon
0,-147.1001989099663,-0.12037289142608643,0.4454921782016754,0.5
1,-213.87683264975755,-0.08567041158676147,0.4690310060977936,0.5
2,-507.30274154298746,-0.07730957120656967,0.4574788212776184,0.5
3,-268.9756847339693,-0.09825590252876282,0.3056299686431885,0.5
4,-511.2343280424274,-0.08242157101631165,0.39907175302505493,0.5
5,-144.787437840432,-0.09845717251300812,0.32375848293304443,0.5
6,-243.63174012721038,-0.10057058930397034,0.4447718858718872,0.5
7,-355.17945450930443,-0.07881412655115128,0.4520162343978882,0.5
8,-163.9352563003207,-0.11059705168008804,0.7028898596763611,0.5
9,-194.80165961092519,-0.11242516338825226,0.39905643463134766,0.5
10,-201.0966798475451,-0.08487870544195175,0.5545021295547485,0.5
11,-126.9329568167455,-0.12240701168775558,0.3534654676914215,0.5
12,-110.81572460206127,-0.110356904566288,0.6163848638534546,0.5
13,-113.97988517417716,-0.1081385463476181,0.8838252425193787,0.5
14,-107.16944976838758,-0.10589160025119781,0.6235532164573669,0.5
15,-126.61667663535799,-0.07736402004957199,0.84425950050354,0.5
16,-98.32308005841116,-0.07527198642492294,0.7717555165290833,0.5
17,-67.33940203562368,-0.10142344981431961,0.4983985424041748,0.5
18,-87.47102581235774,-0.09343589097261429,0.602907121181488,0.5
19,-76.94533618300146,-0.08013207465410233,0.7155229449272156,0.5
20,-94.07451846614461,-0.11234967410564423,0.6699037551879883,0.5
21,-82.04437612563379,-0.0583595372736454,0.8027112483978271,0.5
22,-55.83458071462372,-0.08378806710243225,0.7798783183097839,0.5
23,-58.00321515180545,-0.10139119625091553,0.888449490070343,0.5
24,-86.52411649739672,-0.07156798988580704,0.8099164962768555,0.5
25,-68.10409609510106,-0.06890019029378891,0.9938386678695679,0.5
26,-69.4705505326627,-0.10652048885822296,0.9298625588417053,0.5
27,-68.85991448404485,-0.08621708303689957,0.9781824946403503,0.5
28,-87.72199317892924,-0.05619890242815018,0.8954244256019592,0.5
