episode_idx,rmse_error,mean_jerk,roughness_proxy,mean_velocity,max_error,mean_kcm_intervention,steps,progress
0,0.2555525259250519,28.83873653918876,9422.611451148987,0.14732470398931088,0.7719217899462059,1.8430086824888385,482,0.14774625982738226
1,0.3783623657860809,32.330418051628584,9174.970398843288,0.1851702242922247,0.767729674746256,1.9038611336747306,445,0.15668907216225608
2,0.2200319529994394,40.372538630191876,8975.994366407394,0.25011838177537044,0.7596906946565314,1.9695148478375701,328,0.16651577611103424
3,0.37340720236260044,37.11369891904972,8307.411432266235,0.22113674965856428,0.7843498681628881,1.8277518863853237,352,0.16434191570327106
4,0.5668073858055611,42.870979192100954,5491.2389904260635,0.21361504188764877,0.7530222538883896,2.063560904520694,214,0.08938469779173311
5,0.2803990254540055,38.1429952113708,12585.396859049797,0.21175985808222608,0.7752265594044946,1.6706668712906874,509,0.2001487862996037
6,0.27445838258519967,35.38355619134106,30243.039758503437,0.199013135999375,0.9231529775967875,1.7051394013266956,1352,0.5034616802083168
7,0.33646383196022317,42.23411129570977,8045.355726778507,0.249880668057432,0.7790352304887663,1.9398309656158987,344,0.1696845791957854
8,0.40852899114041324,40.14678952986734,10231.752273440361,0.21687023991480806,0.7625951394932308,1.7958016320572818,399,0.15733581945877867
9,0.24439962329525905,40.22719424763387,76379.80728447437,0.20985913195667608,0.7527901130114412,1.7935191486272097,3210,0.4090873681510482
10,0.26510545166859545,39.24530465722732,20377.149260789156,0.20434866793372708,0.7527451057858325,1.8284898117123505,920,0.3844737008103592
11,0.1897844788378397,38.2269677389991,47736.711871251464,0.21213121587735087,0.6912689836412317,1.8161707224640842,2095,0.99
12,0.2012030441372912,39.310953447427075,47640.9018561244,0.22118113937750494,0.7130911608611781,1.8174954510594947,2027,0.99
13,0.18067470609351655,39.871441715184666,23196.933628618717,0.20368235432055207,0.75345388663081,1.9127437039429476,974,0.40419288065101716
14,0.14821632528987952,37.32678615129911,47598.29719290137,0.2087557841385898,0.7360000968057125,1.8430677916000187,2132,0.99
