episode_idx,total_reward,actor_loss,critic_loss,epsilon
0,-193.25198903221957,-0.010427345521748066,7.388967037200928,1.5
1,-110.19259072760605,0.13667690753936768,2.289055585861206,1.5
2,-215.85406027522222,0.08588443696498871,7.1723198890686035,1.5
3,-78.8998125891471,0.1672964096069336,2.6424694061279297,1.5
4,-199.47899241223536,0.12455721199512482,5.346006393432617,1.5
5,-68.31420212590021,0.22606916725635529,2.208832263946533,1.5
6,-387.8658944611361,0.09077339619398117,7.348394870758057,1.5
7,-344.52177022526934,0.1472536325454712,9.097375869750977,1.5
8,-109.92391981318204,0.23019260168075562,3.207930326461792,1.5
9,-154.71244653030837,0.09541802108287811,6.2104034423828125,1.5
10,-140.9561584686419,0.14908894896507263,5.105879306793213,1.5
11,-49.367260679003515,0.06809886544942856,1.6618762016296387,1.5
12,-160.422574719812,0.1614188849925995,4.429257392883301,1.5
13,-43.75415213805652,0.08310266584157944,1.7236896753311157,1.5
14,-96.958050499736,0.07890653610229492,2.409856081008911,1.5
15,-139.76210489713924,0.09231910109519958,4.640893459320068,1.5
16,-368.0738368864245,0.1595326066017151,9.641487121582031,1.5
17,-469.27919135762824,0.14313949644565582,11.098671913146973,1.5
18,-621.0717621187924,0.15373751521110535,12.211825370788574,1.5
19,-51.573870574349115,0.14260761439800262,2.6852200031280518,1.5
20,-28.916209521108158,0.10321173071861267,2.373382091522217,1.5
21,-714.8305492965546,0.11522454023361206,13.812281608581543,1.5
22,-256.5907987938997,0.1733866035938263,9.044633865356445,1.5
23,-318.03420528757994,0.17780597507953644,7.840104579925537,1.5
24,-186.73587359899742,0.11256560683250427,7.267629623413086,1.5
25,-202.43289172958538,0.1315281242132187,8.168282508850098,1.5
26,-197.62855117245996,0.12949708104133606,8.255502700805664,1.5
27,-416.0804253258725,0.11853621155023575,9.549407005310059,1.5
28,-98.27714220499107,0.21172119677066803,2.393111228942871,1.5
29,-122.37962318123056,0.07573788613080978,3.9837560653686523,1.5
30,-167.64834134128347,0.15700480341911316,4.644289970397949,1.5
31,-246.8662501248614,0.16001421213150024,6.77658748626709,1.5
32,-118.73567577681061,0.09540753066539764,4.247735500335693,1.5
33,-242.2190301158185,0.1317257434129715,7.642345428466797,1.5
34,-115.11198959588526,0.10466344654560089,2.7678604125976562,1.5
35,-376.82323087593636,0.11939045786857605,11.349279403686523,1.5
36,-54.423010081393905,0.18787045776844025,1.3757853507995605,1.5
37,-92.41307172109168,0.23573268949985504,2.8329825401306152,1.5
38,-256.92440485241906,0.10632561147212982,7.5954484939575195,1.5
39,-214.5590781400972,0.11745715141296387,5.729429244995117,1.5
40,-172.97392025954838,0.07239244133234024,7.122733116149902,1.5
41,-124.74198649714653,0.03819967433810234,4.748629093170166,1.5
42,-354.8565817381766,0.15322256088256836,10.187750816345215,1.5
