x,y
-10.811242337741184,15.549767890419487
-10.813678262903148,15.550330268055346
-10.82110527341871,15.551374066312546
-10.835959294449832,15.553461662826948
-10.860772948240866,15.556508396412076
-10.897993428927416,15.561078496789769
-10.95020582843425,15.566566241111321
-11.014849751633188,15.573360591223718
-11.089438893785807,15.581200225968793
-11.16900064541527,15.589562503030205
-11.248951911576798,15.592354462766405
-11.328903177738326,15.595146422502605
-11.408793540518692,15.59933329900204
-11.488598664539477,15.60491381690157
-11.568586480151989,15.606310009416553
-11.648537746313517,15.609101969152753
-11.728428109093883,15.613288845652189
-11.808233233114668,15.618869363551719
-11.88822104872718,15.620265556066702
-11.968111411507547,15.624452432566137
-12.045316500609657,15.63120700262908
-12.117276096603652,15.640042530025953
-12.18211775987054,15.644576700819322
-12.24197160288613,15.648762089243968
-12.29933153577607,15.652773086484256
-12.356691468666009,15.656784083724544
-12.416545311681599,15.66096947214919
-12.481535411866764,15.659835065730768
-12.54902513128982,15.65865702829625
-12.616514850712877,15.657478990861733
-12.686472208604213,15.655036026092558
-12.755950439219106,15.646505172054198
-12.82774487420287,15.636415122234594
-12.899539309186633,15.62632507241499
