step,contour_error,v_u_policy,v_u_exec,v_ratio_cap,v_ratio_brake,cap_violation_ratio,tracking_reward,cap_violation_penalty,corridor_active,reward
0,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-8.835957106812003
1,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-8.552397640347117
2,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-8.135567088597746
3,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-7.59608381068875
4,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-6.948345940337176
5,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-6.2105886063061675
6,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-5.4049429492809615
7,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-4.557498097174375
8,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.698367554464348
9,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-2.861761790635638
10,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,1.8497970378415214
11,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,2.434451745884035
12,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-1.6302402613129379
13,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-2.31222659880432
14,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-2.982567210411057
15,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.1016664630747894
16,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.1230601853941837
17,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.1451147804753363
18,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.1678506633166617
19,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.1912888795556094
20,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.215451124949711
21,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.2403597654594223
