timestamp,position_x,position_y,reference_x,reference_y,velocity,acceleration,jerk,omega,domega,jerk_proxy,contour_error,kcm_intervention,corner_mask,dist_to_corner,mode,mode_proxy
0.0,1.999999999999e-05,-2.0000000002792228e-11,1.9999999999989996e-05,0.0,0.02,20.0,20000.0,-0.001,-1.0,-1000.0,2.0000000002792224e-11,1.942336045500176,0.0,10.0,normal,0.0
0.001,7.999999999972e-05,-2.0000000000103693e-10,7.999999999972e-05,0.0,0.06,40.0,20000.0,-0.003,-2.0,-1000.0,2.0000000000103693e-10,1.984299370040109,0.0,9.99998,normal,0.0
0.002,0.00019999999999755999,-9.199999999907757e-10,0.00019999999999755996,0.0,0.12,60.0,20000.0,-0.006,-3.0,-1000.0,9.199999999907758e-10,1.9833027291091487,0.0,9.99992,normal,0.0
0.003,0.00039999999998756,-2.9199999999705448e-09,0.00039999999998756,0.0,0.2,80.0,20000.0,-0.01,-4.0,-1000.0,2.9199999999705448e-09,1.9819483637465714,0.0,9.999800000000002,normal,0.0
0.004,0.00069999999995381,-7.4199999997646626e-09,0.00069999999995381,0.0,0.30000000000000004,100.0,20000.0,-0.015,-5.0,-1000.0,7.4199999997646626e-09,1.9802362739523764,0.0,9.999600000000012,normal,0.0
0.005,0.0011199999998612001,-1.6239999999043612e-08,0.0011199999998612,0.0,0.42000000000000004,120.0,20000.0,-0.020999999999999998,-6.0,-1000.0,1.6239999999043612e-08,1.9781662809126301,0.0,9.999300000000046,normal,0.0
0.006,0.0016799999996416801,-3.191999999694827e-08,0.00167999999964168,0.0,0.56,140.0,20000.0,-0.027999999999999997,-7.0,-1000.0,3.191999999694827e-08,1.9757321857442753,0.0,9.998880000000138,normal,0.0
0.007,0.00239999999917512,-5.783999999145541e-08,0.00239999999917512,0.0,0.7200000000000001,160.0,20000.0,-0.036,-8.0,-1000.0,5.783999999145541e-08,1.9729336308194438,0.0,9.998320000000358,normal,0.0
0.008,0.0032999999982638705,-9.833999997785215e-08,0.0032999999982638705,0.0,0.9000000000000001,180.0,20000.0,-0.045,-9.0,-1000.0,9.833999997785215e-08,1.9697769938351262,0.0,9.997600000000824,normal,0.0
0.009000000000000001,0.00439999999660012,-1.5883999994750218e-07,0.004399999996600119,0.0,1.1,200.0,20000.0,-0.055,-10.0,-1000.0,1.5883999994750215e-07,1.9662621555820334,0.0,9.996700000001736,normal,0.0
0.01,0.00571999999372516,-2.4595999988412035e-07,0.00571999999372516,0.0,1.32,220.0,20000.0,-0.066,-11.0,-1000.0,2.4595999988412035e-07,1.9623888776415859,0.0,9.9956000000034,normal,0.0
0.011,0.00727999998897964,-3.6763999976042555e-07,0.00727999998897964,0.0,1.56,240.0,20000.0,-0.078,-12.0,-1000.0,3.6763999976042555e-07,1.9581573984323624,0.0,9.994280000006276,normal,0.0
0.012,0.00909999998144393,-5.332599995315533e-07,0.009099999981443929,0.0,1.82,260.0,20000.0,-0.091,-13.0,-1000.0,5.332599995315533e-07,1.9535674199311401,0.0,9.99272000001102,normal,0.0
0.013000000000000001,0.011199999969867681,-7.537599991264302e-07,0.01119999996986768,0.0,2.1,280.0,20000.0,-0.105,-14.0,-1000.0,7.537599991264303e-07,1.9486188825332733,0.0,9.990900000018556,normal,0.0
0.014,0.01359999995258768,-1.0417599984349852e-06,0.01359999995258768,0.0,2.4,300.0,20000.0,-0.12,-15.0,-1000.0,1.0417599984349852e-06,1.9433119650526969,0.0,9.988800000030132,normal,0.0
0.015,0.016319999927433118,-1.411679997294411e-06,0.016319999927433115,0.0,2.7199999999999998,320.0,20000.0,-0.136,-16.0,-1000.0,1.411679997294411e-06,1.9376434488385927,0.0,9.986400000047412,normal,0.0
0.016,0.019379999891617348,-1.8798599954680203e-06,0.019379999891617344,0.0,3.0599999999999996,340.0,20000.0,-0.15300000000000002,-17.0,-1000.0,1.8798599954680203e-06,1.9316161949139103,0.0,9.983680000072567,normal,0.0
0.017,0.022799999841615237,-2.4646799926176303e-06,0.022799999841615237,0.0,3.4199999999999995,360.0,20000.0,-0.17100000000000004,-18.0,-1000.0,2.4646799926176303e-06,1.9252300244647147,0.0,9.980620000108383,normal,0.0
0.018000000000000002,0.026599999773025237,-3.186679988273264e-06,0.026599999773025237,0.0,3.7999999999999994,380.0,20000.0,-0.19000000000000003,-19.0,-1000.0,3.186679988273264e-06,1.9184849970956515,0.0,9.977200000158385,normal,0.0
0.019,0.030799999680415236,-4.0686799817907466e-06,0.030799999680415233,0.0,4.199999999999999,400.0,20000.0,-0.21000000000000002,-20.0,-1000.0,4.0686799817907466e-06,1.9113807551788513,0.0,9.973400000226976,normal,0.0
0.02,0.035419999557151326,-5.135899972298825e-06,0.035419999557151326,0.0,4.619999999999999,420.0,20000.0,-0.231,-21.0,-1000.0,5.135899972298825e-06,1.9039172987143147,0.0,9.969200000319585,normal,0.0
0.021,0.040479999395208556,-6.416079958640825e-06,0.040479999395208556,0.0,5.06,440.0,20000.0,-0.253,-22.0,-1000.0,6.416079958640825e-06,1.8960948065159755,0.0,9.964580000442849,normal,0.0
