tag,seed,step,progress,v_ratio_cap,v_ratio_exec,alpha,d_target,d_chosen,kappa,v_exec,omega_exec,max_vel_cap_phys,contour_error,reward
t1_line,42,1,0.005000000000000001,0.5788218976308936,0.005,0.0,1.1111111111111112,1.1111111111111112,0.0,5.0,0.0,578.8218976308937,0.0,0.5667267835338933
t1_line,42,2,0.02,0.5788218976308936,0.015,0.0,1.1166666666666667,1.1111111111111112,0.0,15.0,0.0,578.8218976308937,0.0,0.8549854112496015
t1_line,42,3,0.05,0.5788218976308936,0.03,0.0,1.1277777777777778,1.1111111111111112,0.0,30.0,0.0,578.8218976308937,0.0,1.285123352823162
t1_line,42,4,0.1,0.5788218976308936,0.05,0.0,1.1444444444444446,1.1111111111111112,0.0,50.0,0.0,578.8218976308937,0.0,1.8544406082545764
t1_line,42,5,0.175,0.5788218976308936,0.075,0.0,1.1666666666666667,1.1111111111111112,0.0,75.0,0.0,578.8218976308937,0.0,2.5593371775438447
t1_line,42,6,0.27999999999999997,0.5788218976308936,0.105,0.0,1.1944444444444444,1.1111111111111112,0.0,105.0,0.0,578.8218976308937,0.0,3.3953130606909663
t1_line,42,7,0.42000000000000004,0.5788218976308936,0.14,0.0,1.2277777777777779,1.1111111111111112,0.0,140.0,0.0,578.8218976308937,0.0,4.356968257695942
t1_line,42,8,0.6,0.5788218976308939,0.18,0.0,1.2666666666666666,1.1111111111111112,0.0,180.0,0.0,578.8218976308939,0.0,5.438002768558766
t1_line,42,9,0.825,0.5788218976308936,0.225,0.0,1.3111111111111111,1.1111111111111112,0.0,225.0,0.0,578.8218976308937,0.0,6.656227311953332
t1_line,42,10,1.0,0.5788218976308936,0.275,0.0,1.3611111111111112,1.1111111111111112,0.0,275.0,0.0,578.8218976308937,0.0,-7.495063785964232
t2_square,1042,1,0.001666666584419961,1.0,0.005,0.0,3.3333333333333397,3.3333333333333397,0.0,5.0,0.031415926535897934,1000.0,1.570796300956333e-05,-8.700585572993013
t2_square,1042,2,0.00666666263657871,0.26234612934438994,0.015,-0.0003188716542616987,3.3500000000000063,3.3333333333333397,9.5661467579007e-05,15.0,0.0942477796076938,262.34612934438996,0.00020420347261491215,-1.762488380211897
t2_square,1042,3,0.016666613288597275,0.16390509314719848,0.03,-0.0013178981031436443,3.38333333333334,3.3333333333333397,0.0003953693115904053,30.0,0.1884955592153876,163.90509314719847,0.0011466797183787812,-1.2024742133810502
t2_square,1042,4,0.033332950969532864,0.1185827067565333,0.05,-0.003485596555533821,3.43333333333334,3.3333333333333397,0.0010456785910844494,50.0,0.3141592653589793,118.5827067565333,0.004288251701158257,-0.9745662185836862
t2_square,1042,5,0.05833143970158535,0.0915861732963469,0.075,-0.0075696601078139025,3.5000000000000067,3.3333333333333397,0.0022708954718884543,75.0,0.47123889803846897,91.5861732963469,0.012534766243571926,-0.9926371992442266
t2_square,1042,6,0.08276825294656102,0.07332178638442474,0.07332178638442474,-0.014755986435582624,3.58333333333334,3.3333333333333397,0.0044267633036965065,73.32178638442474,0.6597344572538566,73.32178638442474,0.025433543219816838,-1.4514374667618768
t2_square,1042,7,0.10320327633610116,0.061326422767947024,0.061326422767947024,-0.025222833762571728,3.577739287948089,3.3333333333333397,0.007566627605552266,61.32642276794702,0.8796459430051421,61.32642276794702,0.04161532659953064,-2.111794474994235
t2_square,1042,8,0.12088914224696061,0.053095323412519824,0.053095323412519824,-0.038873327692601656,3.53775474255983,3.3333333333333397,0.011661086066185109,53.095323412519825,1.1309733552923256,53.095323412519825,0.06162705098290189,-2.8441626302000818
t2_square,1042,9,0.13652322011026058,0.046965317361631696,0.046965317361631696,-0.05618512109311302,3.510317744708406,3.3333333333333397,0.016852651312414126,46.9653173616317,1.413716694115407,46.9653173616317,0.08596122275273696,-3.6493272387448856
t2_square,1042,10,0.1505483955778425,0.04217622186415402,0.04217622186415402,-0.07761893112611018,3.489884391205446,3.3333333333333397,0.023277933264159285,42.176221864154016,1.7278759594743862,42.176221864154016,0.11508813241748657,-4.514393629320808
t2_square,1042,11,0.1641025641025638,0.03831311012527128,0.03831311012527128,-0.10362776853957767,3.4739207395471867,3.3333333333333397,0.03106980798528506,38.31311012527128,2.0106192982974678,38.31311012527128,0.14922622663769447,-4.581416164655138
t2_square,1042,12,0.1749237327641423,0.035185119149012456,0.035185119149012456,-0.13395922791201365,3.4610437004175774,3.3333333333333397,0.040147545374067006,35.18511914901246,2.261946710584651,35.18511914901246,0.18849552439253883,-3.1989312083517603
t2_square,1042,13,0.18974358974358937,0.032625411826086075,0.032625411826086075,-0.16832919500249277,3.450617063830048,3.3333333333333397,0.05041819530878074,32.62541182608607,2.4818581963359367,32.62541182608607,0.23294252847920263,-20.0
t2_square,1042,14,0.19999999999999965,0.03050593354612554,0.03050593354612554,-0.2064286113391467,3.44208470608696,3.3333333333333397,0.061777899319149836,30.50593354612554,2.670353755551324,30.50593354612554,0.2825565140148562,-20.0
t2_square,1042,15,0.21025641025640984,0.028731825014233433,0.028731825014233433,-0.24792761384597917,3.4350197784870917,3.3333333333333397,0.0741124732810533,28.731825014233433,2.827433388230814,28.731825014233433,0.3372809670152319,-20.0
t2_square,1042,16,0.22051282051282015,0.027233145920402633,0.027233145920402633,-0.29247823080828805,3.4291060833807845,3.3333333333333397,0.08729769281171622,27.233145920402634,2.9530970943744057,27.233145920402634,0.3970221672616966,-20.0
t2_square,1042,17,0.23076923076923034,0.025957971443736984,0.025957971443736984,-0.3397162877803739,3.4241104864013487,3.3333333333333397,0.10119955553406366,25.957971443736984,3.0473448739820994,25.957971443736984,0.46165600131735524,-20.0
t2_square,1042,18,0.2410256410256406,0.024854421059907355,0.024854421059907355,-0.3881413686660422,3.419859904812463,3.3333333333333397,0.11551230677198315,24.854421059907356,3.1101767270538954,24.854421059907356,0.5309976255320379,-20.0
t2_square,1042,19,0.2512820512820508,0.0243401483136742,0.0243401483136742,-0.37564136059083975,3.416181403533031,3.3333333333333397,0.12103308934592731,24.3401483136742,3.141592653589793,24.3401483136742,0.6062128202773583,-20.0
t2_square,1042,20,0.26153846153846105,0.024025188116190112,0.024025188116190112,-0.36017224548396154,3.4144671610455872,3.3333333333333397,0.12585588453544985,24.02518811619011,3.141592653589793,24.02518811619011,0.6875952428371597,-20.0
t2_square,1042,21,0.2529552058167649,0.023805017682292883,0.023805017682292883,-0.3406247006246028,3.41341729372064,3.3333333333333397,0.12938039885956834,23.805017682292885,3.1101767270538954,23.805017682292885,0.775157819417071,-20.0
t3_low,2042,1,0.001666666584419961,1.0,0.005,0.0,3.3333333333333397,3.3333333333333397,0.0,5.0,0.031415926535897934,1000.0,1.570796300956333e-05,-7.700585572993014
t3_low,2042,2,0.00666666263657871,0.26234612934438994,0.015,-0.0003188716542616987,3.3500000000000063,3.3333333333333397,9.5661467579007e-05,15.0,0.0942477796076938,262.34612934438996,0.00020420347261491215,-1.762488380211897
t3_low,2042,3,0.016666613288597275,0.16390509314719848,0.03,-0.0013178981031436443,3.38333333333334,3.3333333333333397,0.0003953693115904053,30.0,0.1884955592153876,163.90509314719847,0.0011466797183787812,-1.2024742133810502
t3_low,2042,4,0.033332950969532864,0.1185827067565333,0.05,-0.003485596555533821,3.43333333333334,3.3333333333333397,0.0010456785910844494,50.0,0.3141592653589793,118.5827067565333,0.004288251701158257,-0.9745662185836862
t3_low,2042,5,0.05833143970158535,0.0915861732963469,0.075,-0.0075696601078139025,3.5000000000000067,3.3333333333333397,0.0022708954718884543,75.0,0.47123889803846897,91.5861732963469,0.012534766243571926,-0.9926371992442266
t3_low,2042,6,0.08276825294656102,0.07332178638442474,0.07332178638442474,-0.014755986435582624,3.58333333333334,3.3333333333333397,0.0044267633036965065,73.32178638442474,0.6597344572538566,73.32178638442474,0.025433543219816838,-1.4514374667618768
t3_low,2042,7,0.10320327633610116,0.061326422767947024,0.061326422767947024,-0.025222833762571728,3.577739287948089,3.3333333333333397,0.007566627605552266,61.32642276794702,0.8796459430051421,61.32642276794702,0.04161532659953064,-2.111794474994235
t3_low,2042,8,0.12088914224696061,0.053095323412519824,0.053095323412519824,-0.038873327692601656,3.53775474255983,3.3333333333333397,0.011661086066185109,53.095323412519825,1.1309733552923256,53.095323412519825,0.06162705098290189,-2.8441626302000818
t3_low,2042,9,0.13652322011026058,0.046965317361631696,0.046965317361631696,-0.05618512109311302,3.510317744708406,3.3333333333333397,0.016852651312414126,46.9653173616317,1.413716694115407,46.9653173616317,0.08596122275273696,-3.6493272387448856
t3_low,2042,10,0.1505483955778425,0.04217622186415402,0.04217622186415402,-0.07761893112611018,3.489884391205446,3.3333333333333397,0.023277933264159285,42.176221864154016,1.7278759594743862,42.176221864154016,0.11508813241748657,-4.514393629320808
t3_low,2042,11,0.1641025641025638,0.03831311012527128,0.03831311012527128,-0.10362776853957767,3.4739207395471867,3.3333333333333397,0.03106980798528506,38.31311012527128,2.0106192982974678,38.31311012527128,0.14922622663769447,-4.581416164655138
