tag,seed,step,progress,v_ratio_cap,v_ratio_exec,alpha,d_target,d_chosen,kappa,v_exec,omega_exec,max_vel_cap_phys,contour_error,reward
t1_line,42,1,0.0015000000000000005,1.0,0.030000000000000006,0.0,0.3333333333333333,0.3333333333333333,0.0,0.030000000000000006,0.0,1.0,0.0,-3.9653999999999985
t1_line,42,2,0.006000000000000002,1.0,0.09000000000000002,0.0,0.3433333333333333,0.3333333333333333,0.0,0.09000000000000002,0.0,1.0,0.0,-3.1085999999999983
t1_line,42,3,0.015000000000000008,1.0,0.18000000000000005,0.0,0.36333333333333334,0.3333333333333333,0.0,0.18000000000000005,0.0,1.0,0.0,-1.9043999999999999
t1_line,42,4,0.030000000000000006,1.0,0.30000000000000004,0.0,0.3933333333333333,0.3333333333333333,0.0,0.30000000000000004,0.0,1.0,0.0,-0.4499999999999996
t1_line,42,5,0.05250000000000001,1.0,0.45000000000000007,0.0,0.43333333333333335,0.3333333333333333,0.0,0.45000000000000007,0.0,1.0,0.0,1.1250000000000009
t1_line,42,6,0.08400000000000002,1.0,0.6300000000000001,0.0,0.48333333333333334,0.3333333333333333,0.0,0.6300000000000001,0.0,1.0,0.0,2.6586
t1_line,42,7,0.12550000000000003,1.0,0.8300000000000001,0.0,0.5433333333333333,0.6666666666666666,0.0,0.8300000000000001,0.0,1.0,0.0,5.239933333333338
t1_line,42,8,0.17550000000000004,1.0,1.0,0.0,0.61,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,4.59
t1_line,42,9,0.22550000000000003,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,4.59
t1_line,42,10,0.2755,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,4.59
t1_line,42,11,0.3255,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,4.59
t1_line,42,12,0.3755,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,4.59
t1_line,42,13,0.4255,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,4.59
t1_line,42,14,0.4755,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,5.923333333333337
t1_line,42,15,0.5255,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,8.59
t1_line,42,16,0.5755,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,8.59
t1_line,42,17,0.6255000000000001,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,8.59
t1_line,42,18,0.6755000000000001,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,8.59
t1_line,42,19,0.7255000000000001,1.0,1.0,0.0,0.6666666666666666,0.6489999999999998,0.0,1.0,0.0,1.0,0.0,8.59
t1_line,42,20,0.7755000000000002,1.0,1.0,0.0,0.6666666666666666,0.5489999999999997,0.0,1.0,0.0,1.0,0.0,8.59
t1_line,42,21,0.8255000000000002,1.0,1.0,0.0,0.6666666666666666,0.4489999999999996,0.0,1.0,0.0,1.0,0.0,8.617196136584086
t1_line,42,22,0.8755000000000003,1.0,1.0,0.0,0.6666666666666666,0.34899999999999953,0.0,1.0,0.0,1.0,0.0,8.84395958615455
t1_line,42,23,0.9255000000000003,1.0,1.0,0.0,0.6666666666666666,0.24899999999999944,0.0,1.0,0.0,1.0,0.0,9.79672622970497
t1_line,42,24,0.9755000000000004,1.0,1.0,0.0,0.6666666666666666,0.14899999999999936,0.0,1.0,0.0,1.0,0.0,100.0
t1_line,42,25,1.0,1.0,1.0,0.0,0.6666666666666666,0.048999999999999266,0.0,1.0,0.0,1.0,0.0,26.28882048957301
t2_square,1042,1,0.0004999937500130215,1.0,0.030000000000000006,0.0,0.9999999999999988,0.9999999999999988,0.0,0.030000000000000006,0.05,1.0,1.4999937500078131e-05,-8.370284120098312
t2_square,1042,2,0.00199969376001289,1.0,0.09000000000000002,-0.005014999937499098,1.0299999999999987,0.9999999999999988,0.005014999936929906,0.09000000000000002,0.15000000000000002,1.0,0.00019498793774007595,-7.5663557093177225
t2_square,1042,3,0.004995944541197794,1.0,0.18000000000000005,-0.02019498793526875,1.0899999999999987,0.9999999999999988,0.020194987551338882,0.18000000000000005,0.30000000000000004,1.0,0.0010946129846122863,-6.552198080906589
t2_square,1042,4,0.009973399004974027,1.0,0.30000000000000004,-0.051094612547432305,1.1799999999999986,0.9999999999999988,0.051094581937199006,0.30000000000000004,0.44999999999999996,1.0,0.003940328043649006,-1.608406424216891
t2_square,1042,5,0.017389182089494356,1.0,0.45000000000000007,-0.09894030765108486,1.2999999999999985,0.9999999999999988,0.09893953957716516,0.45000000000000007,0.5499999999999998,1.0,0.010665044004960973,-5.3531300109271776
t2_square,1042,6,0.027658506694097928,1.0,0.6300000000000001,-0.1606646396739393,1.4499999999999984,0.9999999999999988,0.1606555032009801,0.6300000000000001,0.5999999999999998,1.0,0.023798017695265246,-5.698786331019086
t2_square,1042,7,0.040990670760492766,1.0,0.8300000000000001,-0.13264689326048362,1.6299999999999981,1.9999999999999976,0.072108350128527,0.8300000000000001,0.5999999999999996,1.0,0.045936726940438224,-5.556031982977676
t2_square,1042,8,0.05678484953407305,1.0,1.0,-0.15646475397678028,1.8299999999999979,1.9999999999999976,0.08862738924861718,1.0,0.5499999999999996,1.0,0.0778676055261383,-8.913371203054705
t2_square,1042,9,0.07232363862750697,1.0,1.0,-0.16789941943086362,1.9999999999999976,1.9999999999999976,0.099941335450583,1.0,0.44999999999999996,1.0,0.11402914872263449,-10.395521406357425
t2_square,1042,10,0.08888888888888899,1.0,1.0,-0.16849349272011782,1.9999999999999976,1.9999999999999976,0.10541385193226673,1.0,0.4000000000000003,1.0,0.15389008152107678,-11.591974224844549
t2_square,1042,11,0.11111111111111123,1.0,1.0,-0.16299407154443957,1.9999999999999976,1.9999999999999976,0.10719803926208764,1.0,0.40000000000000063,1.0,0.1973866349321998,-12.287043319475858
t2_square,1042,12,0.1333333333333335,1.0,1.0,-0.15654189232710536,1.9999999999999976,1.9999999999999976,0.10824927186399462,1.0,0.44999999999999996,1.0,0.24488980005929487,-12.799343890072457
t2_square,1042,13,0.13157772723366223,1.0,1.0,-0.15482518405576862,1.9999999999999976,1.9999999999999976,0.1125917064351233,1.0,0.44999999999999996,1.0,0.2963033992246062,-13.6460806344394
t3_low,2042,1,0.0004999937500130215,1.0,0.030000000000000006,0.0,0.9999999999999988,0.9999999999999988,0.0,0.030000000000000006,0.05,1.0,1.4999937500078131e-05,-7.370284120098311
t3_low,2042,2,0.00199969376001289,1.0,0.09000000000000002,-0.005014999937499098,1.0299999999999987,0.9999999999999988,0.005014999936929906,0.09000000000000002,0.15000000000000002,1.0,0.00019498793774007595,-6.5663557093177225
t3_low,2042,3,0.004995944541197794,1.0,0.18000000000000005,-0.02019498793526875,1.0899999999999987,0.9999999999999988,0.020194987551338882,0.18000000000000005,0.30000000000000004,1.0,0.0010946129846122863,-5.552198080906589
t3_low,2042,4,0.009973399004974027,1.0,0.30000000000000004,-0.051094612547432305,1.1799999999999986,0.9999999999999988,0.051094581937199006,0.30000000000000004,0.44999999999999996,1.0,0.003940328043649006,-0.6084064242168911
t3_low,2042,5,0.016565206191214318,1.0,0.4,-0.09894030765108486,1.2999999999999985,0.9999999999999988,0.09893953957716516,0.4,0.5499999999999998,1.0,0.009917853342592976,-3.378059979015713
t3_low,2042,6,0.02422644835655349,1.0,0.47,-0.15991752817582006,1.3999999999999984,0.9999999999999988,0.1599096637067676,0.47,0.5999999999999998,1.0,0.019715468635359654,-5.713483186503226
t3_low,2042,7,0.03241850097566357,1.0,0.5099999999999999,-0.22971291476534184,1.4699999999999982,0.9999999999999988,0.22966828310499482,0.5099999999999999,0.5999999999999996,1.0,0.03331877190649003,-7.002100971373062
t3_low,2042,8,0.040631473937925315,1.0,0.5199999999999999,-0.18095708842189584,1.509999999999998,1.9999999999999976,0.09982901643201673,0.5199999999999999,0.5499999999999996,1.0,0.04992282877105407,-8.509914828512626
t3_low,2042,9,0.04840086848464228,1.0,0.4999999999999999,-0.2150563530386842,1.519999999999998,1.9999999999999976,0.12171537733596012,0.4999999999999999,0.44999999999999996,1.0,0.06800360036930216,-9.66881208807953
t3_low,2042,10,0.05527927465576682,1.0,0.44999999999999984,-0.4378990629600086,1.499999999999998,0.9999999999999988,0.43689003146070515,0.44999999999999984,0.4000000000000003,1.0,0.08594102012860118,-10.5216399808675
t3_low,2042,11,0.061282255338118014,1.0,0.4,-0.4957303700918403,1.449999999999998,0.9999999999999988,0.49390975173658624,0.4,0.40000000000000063,1.0,0.10333964149305039,-7.40090307187405
