episode_idx,env_step,reward,contour_error,velocity,acceleration,jerk,omega,angular_acc,angular_jerk,kcm_intervention,cornerness,lookahead_dist_active,lookahead_dist_norm,lookahead_region_weight,lookahead_u_policy,lookahead_u_exec,r_lookahead,r_teacher,r_track,r_smooth
0,10,-0.006513864967318331,4.193393807709675e-07,1.6875,250.0,62500.0,-0.033,-2.0,1000.0,1.7207067797365652,0.0,2.3251489942073817,0.4013549984756268,0.0,0.5288842916488647,0.5288842916488647,-0.024326301246671796,0.04186823440808549,-6.752467824590533e-13,0.0
0,20,-0.020334136338951717,5.707262252506493e-06,5.75,500.0,-62500.0,-0.048000000000000015,0.0,1000.0,1.065139437268411,0.0,2.2498339276313777,0.38153524411352047,0.0,0.4974243640899658,0.4974243640899658,-0.01977302691321328,0.03920150147593594,-1.2507971488852027e-10,0.0
0,30,0.019950851149289222,2.447564725542055e-05,12.3125,750.0,62500.0,-0.06900000000000003,-4.0,-1000.0,0.9974563167582327,0.0,1.5099133769273756,0.18681930971773042,0.0,0.18835145235061646,0.18835145235061646,-0.00010423835779026963,0.03689023732658641,-2.3003800649156185e-09,0.0
0,40,-0.06659429524801022,7.163836351683974e-05,17.75,500.0,-62500.0,-0.12200000000000008,-8.0,-1000.0,0.6586430825804536,0.0,2.918324242830276,0.5574537481132306,0.0,0.7766600847244263,0.7766600847244263,-0.07666390922411813,0.034962566792206745,-1.9707091689104162e-08,0.0
0,50,-0.028612536260647692,0.00018721806569568474,23.1875,500.0,-62500.0,-0.2410000000000002,-12.0,1000.0,1.0798314561075346,0.0,2.3930758184194563,0.41923047853143586,0.0,0.5572580695152283,0.5572580695152283,-0.02883720163027341,0.03336302128250712,-1.3459431983168152e-07,0.0
0,60,-0.11225092957063534,0.00043147940433132815,27.125,375.0,62500.0,-0.3740000000000003,-14.0,-1000.0,1.2831823834903573,0.0,3.1671957249641416,0.6229462434116163,0.0,0.8806164264678955,0.8806164264678955,-0.1073301148895989,0.032056443806853276,-7.149099892305322e-07,0.0
0,70,-0.05933234693425153,0.00083176932177785,27.6875,-125.0,-62500.0,-0.5550000000000004,-18.0,1000.0,0.9601133964082504,0.0,2.808458651661873,0.528541750437335,0.0,0.7307680249214172,0.7307680249214172,-0.06476380906825685,0.030904552899038668,-2.656666385859013e-06,0.0
0,80,-0.09777611202487971,0.001372823742332274,27.125,0.0,-62500.0,-0.7200000000000005,-18.0,-1000.0,1.0442054273153116,0.0,3.1841146101951594,0.6273985816303052,0.0,0.887683629989624,0.887683629989624,-0.10960172854775796,0.02971203537221289,-7.23703690564297e-06,0.0
0,90,-0.1125390408397689,0.002019160791739459,25.6875,-250.0,-62500.0,-0.8730000000000007,-16.0,-1000.0,0.48940267939627513,0.0,3.198179339647293,0.6310998262229719,0.0,0.8935586214065552,0.8935586214065552,-0.11150823610168593,0.02847342261663313,-1.5655719563128007e-05,0.0
0,100,-0.04993085282634535,0.0026599427399438083,21.125,-375.0,62500.0,-1.0520000000000007,-16.0,1000.0,0.887983749766463,0.0,2.738974327683449,0.5102564020219603,0.0,0.7017436623573303,0.7017436623573303,-0.05775542099736735,0.027034027773421846,-2.716913425835433e-05,0.0
0,110,-0.14144342820925646,0.003260257298587483,15.6875,-625.0,62500.0,-1.1730000000000003,-10.0,1000.0,1.1916522052351277,0.0,3.4529999999999994,0.698157894736842,0.0,1.0,1.0,-0.1488967728531855,0.025287601488730643,-4.081642618749295e-05,0.0
0,120,0.0054399638203859735,0.0036818763714443867,9.375,-500.0,62500.0,-1.2939999999999998,-14.0,-1000.0,1.6328238335913274,0.0,1.3892650786042213,0.15506975752742666,0.0,0.13795533776283264,0.13795533776283264,-0.0012112360131865405,0.02315367632795952,-5.2055860280065855e-05,0.0
0,130,-0.011353798396818299,0.003942434578078263,6.5625,-125.0,62500.0,-1.4229999999999994,-12.0,1000.0,1.6487402241549598,0.0,1.6535379717350005,0.22461525571973698,0.0,0.2483450174331665,0.2483450174331665,-0.00036354648848882607,0.0207306907589389,-5.968431514532019e-05,0.0
0,140,-0.02508123468153827,0.004203967667296804,6.75,0.0,62500.0,-1.537999999999999,-12.0,1000.0,1.5705400065883413,0.0,1.8197493810653687,0.2683551002803602,0.0,0.31777334213256836,0.31777334213256836,-0.002803451840602858,0.01825614135142148,-6.786564152707943e-05,0.0
0,150,-0.08259119097193271,0.004456913086538738,4.3125,-250.0,62500.0,-1.6489999999999985,-14.0,-1000.0,0.9513655854236487,0.0,2.9390918576717375,0.5629189099136153,0.0,0.7853349447250366,0.7853349447250366,-0.07902608110373208,0.01571284287559916,-7.62780451620874e-05,0.0
0,160,-0.013904907661612282,0.004660130493746125,4.75,125.0,-62500.0,-1.791999999999998,-16.0,-1000.0,0.7622943419793239,0.0,2.036515320718288,0.3253987686100758,0.0,0.4083188474178314,0.4083188474178314,-0.009434910701353992,0.013084387756013656,-8.339257427997121e-05,0.0
0,170,-0.028362991785363046,0.004970121451016267,6.8125,375.0,62500.0,-1.9709999999999976,-20.0,-1000.0,0.2954489334483759,0.0,2.0700730551481246,0.3342297513547696,0.0,0.42233628034591675,0.42233628034591675,-0.010810575689257964,0.010546556143704328,-9.485609179335184e-05,0.0
