step,segment_idx,progress,dist_to_turn,v_ratio_exec,v_ratio_cap,v_cap_w_min,v_cap_wdot_min,v_cap_wddot_min,alpha_max_ahead,kappa_max_ahead
1.0,0.0,0.0005000000000000008,0.13333333333333333,0.030000000000000006,1.0,12.622751129681651,7.944416633611826,5.085038696938542,0.24497866312686423,0.11883204872206811
2.0,0.0,0.002000000000000003,0.13033333333333333,0.09000000000000002,1.0,12.519129269085912,7.9117410438808955,5.071085858050072,0.24674523766414724,0.11981563962077794
3.0,0.0,0.005000000000000007,0.12133333333333332,0.18000000000000005,1.0,12.216122320429417,7.81540860109995,5.029838566716176,0.25206739126903077,0.12278755439188764
4.0,0.0,0.010000000000000014,0.10333333333333332,0.30000000000000004,1.0,11.643468855066477,7.630029113662174,4.949983116045426,0.2628126818012628,0.12882658726556803
5.0,0.0,0.017500000000000026,0.07333333333333332,0.45000000000000007,1.0,10.7778215147895,7.340920076798786,4.824140168939078,0.2810207407245766,0.13917369295085988
6.0,1.0,0.02800000000000004,0.028333333333333308,0.6300000000000001,1.0,9.65539621385663,6.948163863157168,4.650499717279962,0.3090326391750704,0.15535254187198694
7.0,1.0,0.04183333333333339,0.09866666666666662,0.8300000000000001,1.0,8.36547402272075,6.467408299589856,4.433429165389847,0.3496472739519847,0.17930742841971392
8.0,2.0,0.05850000000000009,0.015666666666666607,1.0,1.0,7.039559076206531,5.9327729925417385,4.1856033986808265,0.40558163165026784,0.21308052737434205
9.0,3.0,0.07516666666666677,0.04899999999999993,1.0,1.0,5.842418986150072,5.404821452254493,3.933451702408856,0.47642107669162836,0.25674196957405343
10.0,4.0,0.09183333333333345,0.08233333333333326,1.0,1.0,4.951686866882649,4.975784795830025,3.722436631804565,0.5506097495338076,0.3029260711829826
11.0,4.0,0.10850000000000014,0.11566666666666658,1.0,1.0,4.278785719740091,4.625357132016992,3.4941835581914917,0.6275230296179726,0.3505657491316007
12.0,5.0,0.12516666666666681,0.015666666666666607,1.0,1.0,3.7656957480589592,4.339179500815193,3.217687161514065,0.7063631406314594,0.3983317651399294
13.0,6.0,0.1418333333333335,0.049000000000000044,1.0,1.0,3.3727461342061678,4.019022874578657,2.997067805777327,0.7861981632267816,0.4447404481591423
14.0,7.0,0.15850000000000017,0.08233333333333337,1.0,1.0,3.071844744937598,3.6684399801654743,2.8201390907757626,0.8660230109542413,0.48830492837479855
15.0,7.0,0.17516666666666686,0.1156666666666667,1.0,1.0,2.842521824559628,3.396450873933634,2.510261367673125,0.9448333592873146,0.5276994338330399
16.0,8.0,0.19183333333333358,0.015666666666666718,1.0,1.0,2.5396843848199393,3.06387498932106,2.272396082873464,0.8363540152745559,0.5906235708977527
17.0,9.0,0.20850000000000027,0.04899999999999993,1.0,1.0,2.2938569944765366,2.7128686416644614,2.0953464857675015,0.9352659623551771,0.6539194508441047
18.0,10.0,0.22516666666666696,0.08233333333333315,1.0,1.0,2.02227956442124,2.4630953479846696,1.8278998052260473,0.7867314959406593,0.7417362090338497
19.0,10.0,0.24183333333333368,0.11566666666666636,1.0,1.0,1.7463528464275506,2.11298898883359,1.5495457643337773,0.9192595098245739,0.8589319487843734
20.0,11.0,0.2585000000000004,0.015666666666666273,1.0,1.0,1.5496961474481952,1.7605091010546894,1.372034718288503,0.6877100985323992,0.9679306829108549
21.0,12.0,0.2749166666666671,0.04899999999999971,0.985,1.0,1.2019256615523766,1.5504358494000172,1.260594629034189,0.8870466192809277,1.2479963162921226
22.0,13.0,0.2889009870349217,0.08383333333333298,0.8390592220952746,0.8390592220952746,1.0289244402979374,1.1906785872174463,0.8390592220952746,1.0759372743667495,1.457831996527575
23.0,13.0,0.30015598345983285,0.13326074445713876,0.6752997854946703,0.6752997854946703,0.7390963831546531,0.8597071496472813,0.6752997854946703,0.7191190759303803,2.0295042637081173
24.0,13.0,0.3093008864026479,0.0657307659076718,0.5486941765689014,0.5486941765689014,0.5486941765689014,0.740738939552189,0.6114670178218988,0.9863907364516695,2.733762294846341
25.0,14.0,0.31719578934546294,0.010861348250781555,0.4736941765689014,0.4856555031956773,0.4856555031956773,0.6968898788156399,0.5870913624120537,1.1857612494673981,3.088608086337542
26.0,14.0,0.324340692288278,0.09682526392722468,0.42869417656890135,0.4658509329718357,0.4658509329718357,0.6825327339929095,0.5790000163115799,1.335102834421991,3.2199131266734065
27.0,14.0,0.331235595231093,0.05395584627033445,0.41369417656890134,0.4646562457399201,0.4646562457399201,0.6816569853965556,0.5785046389018113,1.4504159538084798,3.228191914121697
28.0,15.0,0.3333333333333337,0.012586428613444278,0.42869417656890135,0.47338201243402345,0.47338201243402345,0.6880276247608256,0.5821034455739906,1.544979171024342,3.1686872065656413
29.0,15.0,0.34022823627614873,0.13672906495395648,0.41369417656890134,0.4606025484645962,0.4606025484645962,0.6792985904354083,0.5775218568334126,1.6312884106492822,3.2566027791154255
30.0,15.0,0.34637306240783705,0.0968215947604119,0.3686941765689013,1.0,10.777350421171185,3.5275654846590867,1.7318542482399837,0.2839753270036445,0.1391797764785469
31.0,15.0,0.3512674146843961,0.0627804331656596,0.2936941765689013,1.0,10.02614677260824,3.6952285883562124,1.7862912789164815,0.30157187807312,0.14960782121714486
32.0,16.0,0.35555555555555596,0.03926292702717584,0.18869417656890125,1.0,9.667505765346887,4.124300188846193,1.9219879297269353,0.3098216449951847,0.15515794548278838
33.0,16.0,0.3563062126424473,0.1432216147504262,0.11369417656890123,1.0,9.40199620564828,4.421515771256862,2.013221279944392,0.3166821577977528,0.15953958767848367
34.0,16.0,0.3574509416356138,0.13206479818178446,0.0686941765689012,1.0,9.16017770817966,4.447657540717847,2.0211309827013255,0.3238964386801282,0.1637512816463006
35.0,16.0,0.3583457097306882,0.12534610142315675,0.053694176568901186,1.0,8.948565779406321,4.317384087371994,1.981460200437386,0.33085655618287024,0.16762362689294946
36.0,16.0,0.35949044126442736,0.12010645317020051,0.06869417656890117,1.0,8.839908840495855,4.323443813718026,1.9833067417308785,0.3343745690506834,0.1696840077376885
37.0,16.0,0.3613850628455535,0.11342084783608809,0.11369417656890117,1.0,8.704836042884772,4.333137835877122,1.9862612505911537,0.3388560275807251,0.1723170072100361
38.0,16.0,0.3640513389397278,0.10240933677393753,0.15999999999999998,1.0,8.488851308935804,4.350402773036364,1.9915189450261477,0.3462927835846443,0.17670135293449216
39.0,16.0,0.3675508361078044,0.08706956676308612,0.21,1.0,8.198550597818738,4.373894566882764,1.9986612103322048,0.3568614320788699,0.18295816846559218
40.0,16.0,0.372133527458507,0.06740497774199052,0.275,1.0,7.8405714430917675,4.4043647364889456,2.0079060728964278,0.3708937883849668,0.19131158619186894
41.0,17.0,0.3780493925049264,0.04358422059570264,0.35500000000000004,1.0,7.408194461410226,4.4446739016381915,2.020104300275853,0.3895235076240704,0.20247748619708877
42.0,17.0,0.38554841919022687,0.1344129441114622,0.45000000000000007,1.0,6.904199604792407,4.497205585818237,2.035947279193278,0.4139927121204954,0.21725807213905088
43.0,17.0,0.39471395961758365,0.09056002440709222,0.55,1.0,6.341165705517558,4.564575973827993,2.0561773533141356,0.4456673704577181,0.23654856669793756
44.0,18.0,0.4055460483328865,0.04054871026112399,0.65,1.0,5.749719439143687,4.647635374442242,2.080984522001622,0.48533243587534924,0.26088129449738107
45.0,18.0,0.41804472206041243,0.10296055933257263,0.75,1.0,5.163159182426646,4.7469915422676765,2.110469230315132,0.5334433799943477,0.2905188052203015
46.0,19.0,0.43221001784757024,0.03414473241498013,0.85,1.0,4.6077562998319594,4.799873071150924,2.144858037678384,0.590395866712937,0.3255370498431967
47.0,20.0,0.4480419713095738,0.07663351356335676,0.95,1.0,4.1022118686856235,4.528913704568472,2.1844140994363275,0.6564237002398521,0.36565539416391485
48.0,20.0,0.4647073463388897,0.11365828312098562,1.0,1.0,3.658274051541871,4.2768411541357665,2.2294401586629915,0.7314580244069013,0.4100284234019422
49.0,21.0,0.48137287170931353,0.022773627821744264,1.0,1.0,3.297379194259985,3.896522487328769,2.276727506891347,0.8110298273755916,0.45490573399382506
50.0,22.0,0.49803852992234177,0.048680726325373506,1.0,1.0,3.0209426200956315,3.5778608254353648,2.32389829073798,0.8902299474600675,0.4965327606950362
51.0,23.0,0.5145468270248755,0.08030661625008773,0.9905507853341448,1.0,2.774126405969752,3.3311417898190716,2.372078807773746,0.7712728025925815,0.5407097609704052
52.0,23.0,0.531066182350268,0.11387867142770984,0.9912082019699168,1.0,2.4707542358913304,2.9291839837973925,2.2053004777771963,0.8693957805256964,0.6071010655192245
53.0,24.0,0.5475899760601586,0.020432425859122406,0.9914691054666842,1.0,2.2536107688964586,2.6244505592913465,2.049567699659137,0.9658962356391552,0.6655975233574809
54.0,25.0,0.5641236082998852,0.049898185590984974,0.9920546503449102,1.0,1.9322084581082275,2.407618195296896,1.7087590639381638,0.8325974859980625,0.7763127531592264
55.0,26.0,0.580666557225717,0.08302753873049307,0.9926094289225101,1.0,1.698280059602007,1.971215691764276,1.4794342989891498,0.9616258039051475,0.8832455478935942
56.0,26.0,0.5972181941806798,0.11669189802615616,0.993126970578343,1.0,1.4168587235392494,1.6833649179778278,1.331655128602775,0.7582322293552552,1.058679004632408
57.0,27.0,0.6135285184192271,0.02051421547573997,0.9786445122341758,1.0,1.1443231516227257,1.512827254925509,1.071620074205801,0.9524319266679582,1.3108175374672366
58.0,28.0,0.6261505373942199,0.0533566471563469,0.7573383195443887,0.7573383195443887,1.0099842859080244,1.021034738692964,0.7573383195443887,1.132112976415348,1.485170621904422
59.0,28.0,0.6369669337021248,0.11028532912427919,0.6489971940436141,0.6489971940436141,0.6560541681610138,0.8099717082472782,0.6489971940436141,0.8266419214792236,2.2863955702781094
60.0,28.0,0.6444444444444452,0.0460319998711017,0.5274213605143605,0.5274213605143605,0.5274213605143605,0.7262378126442883,0.6034604667422977,1.0718853388597296,2.8440248819573504
61.0,29.0,0.6533059684288234,0.012708122095908124,0.45293890217019334,0.4856568403792361,0.4856568403792361,0.6968908382087083,0.5870919012358302,1.2492337582154143,3.088599582313823
