tag,seed,step,progress,v_ratio_cap,v_ratio_exec,alpha,d_target,d_chosen,kappa,v_exec,omega_exec,max_vel_cap_phys,contour_error,reward
t1_line,42,1,0.005000000000000001,0.5788218976308936,0.005,0.0,1.1111111111111112,1.1111111111111112,0.0,5.0,0.0,578.8218976308937,0.0,0.5667267835338933
t1_line,42,2,0.02,1.0,0.015,0.0,3.3333333333333335,3.3333333333333335,0.0,15.0,0.0,1000.0,0.0,-3.063993795261787
t1_line,42,3,0.05,1.0,0.03,0.0,3.3333333333333335,3.3333333333333335,0.0,30.0,0.0,1000.0,0.0,-2.568043795261787
t1_line,42,4,0.1,1.0,0.05,0.0,3.3333333333333335,3.3333333333333335,0.0,50.0,0.0,1000.0,0.0,-1.912643795261787
t1_line,42,5,0.175,1.0,0.075,0.0,3.3333333333333335,3.3333333333333335,0.0,75.0,0.0,1000.0,0.0,-1.1013937952617883
t1_line,42,6,0.27999999999999997,1.0,0.105,0.0,3.3333333333333335,3.3333333333333335,0.0,105.0,0.0,1000.0,0.0,-0.13879379526178734
t1_line,42,7,0.42000000000000004,1.0,0.14,0.0,3.3333333333333335,3.3333333333333335,0.0,140.0,0.0,1000.0,0.0,0.9697562047382136
t1_line,42,8,0.6,1.0,0.18,0.0,3.3333333333333335,3.3333333333333335,0.0,180.0,0.0,1000.0,0.0,2.21795620473821
t1_line,42,9,0.825,1.0,0.225,0.0,3.3333333333333335,3.3333333333333335,0.0,225.0,0.0,1000.0,0.0,3.6236169234120896
t1_line,42,10,1.0,0.783547491914004,0.275,0.0,3.3333333333333335,1.75,0.0,275.0,0.0,783.547491914004,0.0,-8.717940622276153
t2_square,1042,1,0.001666666584419961,1.0,0.005,0.0,3.3333333333333397,3.3333333333333397,0.0,5.0,0.031415926535897934,1000.0,1.570796300956333e-05,-8.700585572993013
t2_square,1042,2,0.00666666263657871,0.524162897523071,0.015,-0.0003165154598105957,8.33333333333334,6.666666666666679,4.747731184986069e-05,15.0,0.0942477796076938,524.162897523071,0.00020420347261491215,-3.4745224076438848
t2_square,1042,3,0.016666613288597275,0.200377602174475,0.03,0.01912785261881078,10.00000000000002,10.00000000000002,0.0019514159689651533,30.0,0.1884955592153876,200.37760217447502,0.0011466797183787812,-1.342006951547386
t2_square,1042,4,0.033332950969532864,0.14469122616189042,0.05,0.04932092157536694,10.00000000000002,10.00000000000002,0.005184531610080311,50.0,0.3141592653589793,144.69122616189043,0.004288251701158257,-1.052360301270338
t2_square,1042,5,0.05833143970158535,0.11103188372550829,0.075,0.10390195107804301,10.00000000000002,10.00000000000002,0.011474635707252235,75.0,0.47123889803846897,111.0318837255083,0.012534766243571926,-1.0376677931037015
t2_square,1042,6,0.08754850150371599,0.08766475164992373,0.08766475164992373,0.19656499417312245,10.00000000000002,10.00000000000002,0.02331450661869294,87.66475164992373,0.6597344572538566,87.66475164992373,0.027956759295973417,-1.4465397559830093
t2_square,1042,7,0.1117323832860542,0.07257691513643524,0.07257691513643524,0.32122574730985765,10.00000000000002,10.00000000000002,0.04108788563520159,72.57691513643525,0.8796459430051421,72.57691513643525,0.04710713308427619,-2.220776120611224
t2_square,1042,8,0.13333333333333308,0.06448224200281621,0.06448224200281621,0.4349511477709802,10.00000000000002,10.00000000000002,0.05858576113847138,64.48224200281622,1.1309733552923256,64.48224200281622,0.07141060788480688,-3.065797528843866
t2_square,1042,9,0.15384615384615358,0.05926321778894164,0.05926321778894164,0.5413112565302622,10.00000000000002,10.00000000000002,0.07546723473268976,59.26321778894164,1.413716694115407,59.26321778894164,0.10211669915221928,-3.9954559502806615
t2_square,1042,10,0.17144838885193003,0.055660865565920724,0.055660865565920724,0.6403008019547487,10.00000000000002,10.00000000000002,0.09108885486716675,55.66086556592072,1.7278759594743862,55.66086556592072,0.14055610722490497,-5.054065203224963
