episode_idx,reward,actor_loss,critic_loss,wall_time
0,-2684.142212764227,0.015346498228609562,2.8772828578948975,1.9487651999988884
1,-10307.178269752812,0.029881831258535385,5.273888111114502,6.451431800000137
2,-2296.9152241766806,0.018248848617076874,5.34331750869751,8.728595299999142
3,-1869.3597590341217,0.028142156079411507,4.6588006019592285,10.953480799998943
4,-2235.6847395946875,0.030584681779146194,5.160160541534424,13.124897599998803
5,-2083.1846285543493,0.021259497851133347,5.308189392089844,15.318438999998762
6,-2045.643658241056,0.021661685779690742,5.425825595855713,17.38809399999809
7,-2027.0494775080265,0.02055172622203827,6.2118425369262695,19.42075290000139
8,-2132.715753650904,0.010563993826508522,5.881490230560303,21.474174800001492
9,-2472.0337974609306,0.02258307859301567,5.829080104827881,24.296533500000805
10,-2837.321470517348,0.012362852692604065,5.927849292755127,27.046672500000568
11,-1924.5803668190295,0.0024794135242700577,6.0811262130737305,28.893370000001596
12,-2495.370314073077,0.02008710987865925,6.160078048706055,31.137473099999625
13,-2178.7512755752837,0.03660734370350838,6.160667419433594,33.49951900000087
14,-1905.5184939742335,0.016629746183753014,5.695814609527588,35.62896239999827
15,-1948.8574165767507,0.03201973810791969,6.080819129943848,37.72562430000107
16,-2296.0265528125847,0.028826549649238586,6.401290416717529,39.95213549999971
17,-2321.0105250046477,0.01864037849009037,6.5381011962890625,42.266375600000174
18,-2567.1540294201354,0.021555285900831223,6.466361999511719,44.7676320999999
19,-2350.912982157625,0.036788392812013626,6.833613395690918,46.806758399998216
20,-1956.0512039006826,0.04388068988919258,6.325933456420898,48.68515760000082
21,-2352.1701733809114,0.03735174238681793,6.669216632843018,50.93896129999848
22,-2394.218994208674,0.03264082223176956,6.10891056060791,53.2026220000007
23,-1962.2607800383616,0.03421672061085701,6.200259685516357,55.17110450000109
24,-1806.6380871848698,0.07482454180717468,6.305747985839844,56.892588999999134
25,-2152.054019489226,0.07454215735197067,6.935044765472412,59.23710719999872
26,-2111.5809411563396,0.04549682140350342,6.29585075378418,61.23186039999928
27,-1934.4785515081053,0.03594066947698593,6.185323715209961,63.3796997999998
