step,time,x,y,v,a,j,contour_error,progress,v_over_vmax,abs_j_over_jmax,active_accdec_window,s_smoothed,v_cap
41,0.041,20.192828125,0.0,13.453125,640.625,15625.0,0.0,0.0004820703125000072,0.13453125,0.25,True,0.192828125,18.0
42,0.042,20.2069375,0.0,14.109375,656.25,15625.0,0.0,0.0005173437500000087,0.14109375,0.25,True,0.2069375,18.0
43,0.043000000000000003,20.22171875,0.0,14.78125,671.875,15625.0,0.0,0.0005542968750000151,0.1478125,0.25,True,0.22171875,18.0
44,0.044,20.2371875,0.0,15.46875,687.5,15625.0,0.0,0.0005929687500000162,0.1546875,0.25,True,0.2371875,18.0
45,0.045,20.25335625,0.0,16.16875,700.0,12500.0,0.0,0.0006333906250000135,0.16168749999999998,0.2,True,0.25335625,18.0
46,0.046,20.270225,0.0,16.86875,700.0,0.0,0.0,0.0006755625000000155,0.1686875,0.0,True,0.270225,18.0
47,0.047,20.28779375,0.0,17.568749999999998,700.0,0.0,0.0,0.0007194843750000136,0.17568749999999997,0.0,True,0.28779375,18.0
48,0.048,20.30579375,0.0,18.0,684.375,-15625.0,0.0,0.0007644843750000163,0.18,0.25,True,0.30579375000000003,18.0
49,0.049,20.32379375,0.0,18.0,668.75,-15625.0,0.0,0.000809484375000019,0.18,0.25,True,0.32379375000000005,18.0
50,0.05,20.34179375,0.0,18.0,653.125,-15625.0,0.0,0.0008544843750000219,0.18,0.25,True,0.34179375000000006,18.0
51,0.051000000000000004,20.35979375,0.0,18.0,637.5,-15625.0,0.0,0.0008994843750000246,0.18,0.25,True,0.3597937500000001,18.0
52,0.052000000000000005,20.37779375,0.0,18.0,621.875,-15625.0,0.0,0.0009444843750000186,0.18,0.25,True,0.3777937500000001,18.0
53,0.053,20.39579375,0.0,18.0,606.25,-15625.0,0.0,0.0009894843750000212,0.18,0.25,True,0.3957937500000001,18.0
54,0.054,20.41379375,0.0,18.0,590.625,-15625.0,0.0,0.001034484375000024,0.18,0.25,True,0.4137937500000001,18.0
55,0.055,20.43179375,0.0,18.0,575.0,-15625.0,0.0,0.0010794843750000268,0.18,0.25,True,0.43179375000000014,18.0
56,0.056,20.44979375,0.0,18.0,559.375,-15625.0,0.0,0.0011244843750000295,0.18,0.25,True,0.44979375000000016,18.0
57,0.057,20.46779375,0.0,18.0,543.75,-15625.0,0.0,0.0011694843750000234,0.18,0.25,True,0.4677937500000002,18.0
58,0.058,20.48579375,0.0,18.0,528.125,-15625.0,0.0,0.001214484375000026,0.18,0.25,True,0.4857937500000002,18.0
59,0.059000000000000004,20.50379375,0.0,18.0,512.5,-15625.0,0.0,0.0012594843750000288,0.18,0.25,True,0.5037937500000002,18.0
60,0.06,20.52179375,0.0,18.0,496.875,-15625.0,0.0,0.0013044843750000317,0.18,0.25,True,0.5217937500000002,18.0
61,0.061,20.53979375,0.0,18.0,481.25,-15625.0,0.0,0.0013494843750000345,0.18,0.25,True,0.5397937500000002,18.0
62,0.062,20.557793750000002,0.0,18.0,465.625,-15625.0,0.0,0.0013944843750000372,0.18,0.25,True,0.5577937500000002,18.0
63,0.063,20.57579375,0.0,18.0,450.0,-15625.0,0.0,0.001439484375000031,0.18,0.25,True,0.5757937500000002,18.0
64,0.064,20.59379375,0.0,18.0,434.375,-15625.0,0.0,0.0014844843750000337,0.18,0.25,True,0.5937937500000002,18.0
65,0.065,20.61179375,0.0,18.0,418.75,-15625.0,0.0,0.0015294843750000365,0.18,0.25,True,0.6117937500000002,18.0
66,0.066,20.62979375,0.0,18.0,403.125,-15625.0,0.0,0.0015744843750000394,0.18,0.25,True,0.6297937500000003,18.0
67,0.067,20.64779375,0.0,18.0,387.5,-15625.0,0.0,0.0016194843750000421,0.18,0.25,True,0.6477937500000003,18.0
68,0.068,20.66579375,0.0,18.0,371.875,-15625.0,0.0,0.001664484375000036,0.18,0.25,True,0.6657937500000003,18.0
69,0.069,20.68379375,0.0,18.0,356.25,-15625.0,0.0,0.0017094843750000387,0.18,0.25,True,0.6837937500000003,18.0
70,0.07,20.70179375,0.0,18.0,340.625,-15625.0,0.0,0.0017544843750000414,0.18,0.25,True,0.7017937500000003,18.0
71,0.07100000000000001,20.71979375,0.0,18.0,325.0,-15625.0,0.0,0.001799484375000044,0.18,0.25,True,0.7197937500000003,18.0
72,0.07200000000000001,20.73779375,0.0,18.0,309.375,-15625.0,0.0,0.001844484375000047,0.18,0.25,True,0.7377937500000004,18.0
73,0.073,20.75579375,0.0,18.0,293.75,-15625.0,0.0,0.0018894843750000409,0.18,0.25,True,0.7557937500000004,18.0
74,0.074,20.77379375,0.0,18.0,278.125,-15625.0,0.0,0.0019344843750000436,0.18,0.25,True,0.7737937500000004,18.0
75,0.075,20.79179375,0.0,18.0,262.5,-15625.0,0.0,0.0019794843750000463,0.18,0.25,True,0.7917937500000004,18.0
76,0.076,20.80979375,0.0,18.0,246.875,-15625.0,0.0,0.0020244843750000492,0.18,0.25,True,0.8097937500000004,18.0
