step,x,y,velocity
116,8.1194304968,-0.0096335791,77.9204031859
117,8.1973504626,-0.0098946654,77.9204031859
118,8.2752704017,-0.0101635841,77.9204031859
119,8.3531903119,-0.0104407547,77.9204031859
120,8.4311102144,-0.0107200911,77.9204031859
121,8.5090301503,-0.0109899621,77.9204031859
122,8.5869501008,-0.0112555560,77.9204031859
123,8.6648700514,-0.0115211465,77.9204031859
124,8.7427900205,-0.0117812196,77.9204031859
125,8.8207099462,-0.0120540194,77.9204031859
126,8.8986299125,-0.0123149505,77.9204031859
127,8.9765498620,-0.0125808439,77.9204031859
128,9.0544698088,-0.0128475355,77.9204031859
129,9.1323899784,-0.0130383216,77.9204031859
130,9.2103101216,-0.0132396015,77.9204031859
131,9.2882302368,-0.0134514662,77.9204031859
132,9.3661502811,-0.0136879501,77.9204031859
133,9.4440703838,-0.0139043379,77.9204031859
134,9.5219904511,-0.0141331368,77.9204031859
135,9.5999105708,-0.0143433196,77.9204031859
136,9.6778306482,-0.0145686632,77.9204031859
137,9.7557506689,-0.0148128072,77.9204031859
138,9.8336707556,-0.0150348697,77.9204031859
139,9.9115908230,-0.0152636505,77.9204031859
140,9.9895107897,-0.0155244552,77.9204031859
141,10.0674307029,-0.0158007741,77.9204031859
142,10.1453506596,-0.0160645508,77.9204031859
143,10.2232706118,-0.0163296770,77.9204031859
144,10.3011906809,-0.0165578587,77.9204031859
145,10.3791107312,-0.0167923552,77.9204031859
146,10.4570307840,-0.0170260344,77.9204031859
147,10.5349508150,-0.0172668784,77.9204031859
148,10.6128707524,-0.0175362832,77.9204031859
149,10.6907906683,-0.0178118522,77.9204031859
150,10.7687107097,-0.0180493124,77.9204031859
151,10.8466307357,-0.0182917420,77.9204031859
152,10.9245507701,-0.0185315012,77.9204031859
153,11.0024707214,-0.0187968475,77.9204031859
154,11.0803905846,-0.0190869575,77.9204031859
155,11.1583105017,-0.0193621778,77.9204031859
156,11.2362304607,-0.0196252638,77.9204031859
157,11.3141504064,-0.0198922903,77.9204031859
158,11.3920703077,-0.0201719487,77.9204031859
159,11.4699902313,-0.0204453293,77.9204031859
160,11.5479102256,-0.0206977748,77.9204031859
161,11.6258301779,-0.0209628487,77.9204031859
162,11.7037502105,-0.0212031553,77.9204031859
163,11.7816501113,-0.0214829410,77.9004031859
164,11.8595100647,-0.0217475854,77.8604031859
165,11.9373101969,-0.0219529408,77.8004031859
166,12.0150302964,-0.0221702153,77.7204031859
167,12.0926504457,-0.0223687251,77.6204031859
168,12.1701506479,-0.0225452410,77.5004031859
169,12.2475107509,-0.0227607276,77.3604031859
170,12.3247108171,-0.0229888585,77.2004031859
171,12.3636711225,-0.0230935665,38.9604461753
172,12.4024713838,-0.0232133616,38.8004461753
173,12.4411316321,-0.0233370363,38.6604461753
174,12.4796718475,-0.0234704103,38.5404461753
175,12.5181120101,-0.0236180638,38.4404461753
176,12.5564721862,-0.0237620134,38.3604461753
177,12.5947723956,-0.0238966901,38.3004461753
178,12.6330325589,-0.0240438092,38.2604461753
179,12.6712327327,-0.0241880818,38.2004461753
180,12.7093930007,-0.0243046712,38.1604461753
181,12.7475332607,-0.0244238581,38.1404461753
182,12.7856734649,-0.0245597032,38.1404461753
183,12.8238336440,-0.0247024775,38.1604461753
184,12.8620338987,-0.0248234425,38.2004461753
185,12.9002941238,-0.0249535025,38.2604461753
186,12.9386343143,-0.0250935248,38.3404461753
187,12.9770744547,-0.0252468365,38.4404461753
188,13.0156346272,-0.0253921234,38.5604461753
189,13.0543347874,-0.0255408930,38.7004461753
190,13.0931948757,-0.0257076664,38.8604461753
191,13.1321549782,-0.0258713122,38.9604461753
192,13.1711150711,-0.0260372226,38.9604461753
193,13.2100751452,-0.0262074985,38.9604461753
194,13.2490352322,-0.0263748045,38.9604461753
195,13.2879953303,-0.0265394805,38.9604461753
196,13.3269554393,-0.0267015721,38.9604461753
197,13.3659155762,-0.0268568054,38.9604461753
198,13.4048756902,-0.0270176822,38.9604461753
199,13.4438358019,-0.0271791265,38.9604461753
200,13.4827758918,-0.0273457104,38.9404461753
201,13.5217159803,-0.0275125962,38.9404461753
202,13.5606760693,-0.0276794449,38.9604461753
203,13.5996361232,-0.0278542661,38.9604461753
204,13.6385962393,-0.0280146382,38.9604461753
205,13.6775563024,-0.0281874060,38.9604461753
206,13.7164963394,-0.0283659194,38.9404461753
207,13.7554363792,-0.0285438240,38.9404461753
208,13.7943963723,-0.0287317221,38.9604461753
209,13.8333564219,-0.0289075134,38.9604461753
210,13.8722963980,-0.0290988463,38.9404461753
211,13.9112364481,-0.0292744759,38.9404461753
212,13.9501964556,-0.0294593629,38.9604461753
213,13.9891564570,-0.0296455124,38.9604461753
214,14.0281164742,-0.0298283571,38.9604461753
215,14.0670564802,-0.0300134947,38.9404461753
216,14.1059964625,-0.0302035756,38.9404461753
217,14.1449564083,-0.0304010348,38.9604461753
218,14.1839163934,-0.0305905694,38.9604461753
219,14.2228764479,-0.0307652736,38.9604461753
220,14.2618364284,-0.0309557686,38.9604461753
221,14.3007963949,-0.0311490809,38.9604461753
222,14.3397563634,-0.0313420173,38.9604461753
223,14.3787163463,-0.0315320122,38.9604461753
224,14.4176762698,-0.0317338205,38.9604461753
225,14.4566362519,-0.0319239723,38.9604461753
226,14.4955961581,-0.0321291019,38.9604461753
227,14.5345559795,-0.0323497399,38.9604461753
228,14.5735159033,-0.0325515060,38.9604461753
229,14.6124758159,-0.0327554029,38.9604461753
230,14.6514358323,-0.0329383946,38.9604461753
231,14.6903958163,-0.0331281657,38.9604461753
232,14.7293558407,-0.0333094460,38.9604461753
233,14.7682957207,-0.0335194411,38.9404461753
234,14.8072355548,-0.0337377647,38.9404461753
235,14.8461954260,-0.0339494420,38.9604461753
236,14.8851551924,-0.0341795863,38.9604461753
237,14.9241149832,-0.0344055645,38.9604461753
238,14.9630746695,-0.0346489015,38.9604461753
239,15.0020343749,-0.0348891492,38.9604461753
240,15.0409940649,-0.0351318924,38.9604461753
241,15.0799537520,-0.0353750943,38.9604461753
242,15.1188934728,-0.0356127639,38.9404461753
243,15.1578332223,-0.0358456944,38.9404461753
244,15.1967929653,-0.0360797758,38.9604461753
245,15.2357526420,-0.0363246418,38.9604461753
246,15.2747121981,-0.0365879843,38.9604461753
247,15.3136717401,-0.0368534235,38.9604461753
248,15.3526312120,-0.0371289560,38.9604461753
249,15.3915907797,-0.0373905813,38.9604461753
250,15.4305503684,-0.0376490693,38.9604461753
251,15.4695100059,-0.0379000897,38.9604461753
252,15.5084696933,-0.0381432417,38.9604461753
253,15.5474293705,-0.0383880195,38.9604461753
254,15.5863892313,-0.0386015886,38.9604461753
255,15.6253490616,-0.0388206576,38.9604461753
256,15.6643089198,-0.0390347092,38.9604461753
257,15.7032687656,-0.0392509886,38.9604461753
258,15.7422287509,-0.0394404931,38.9604461753
259,15.7811887429,-0.0396286116,38.9604461753
260,15.8201287101,-0.0398217627,38.9404461753
261,15.8590688982,-0.0399635226,38.9404461753
262,15.8980290850,-0.0401057041,38.9604461753
263,15.9369892493,-0.0402538845,38.9604461753
264,15.9759493162,-0.0404258122,38.9604461753
265,16.0149094120,-0.0405910446,38.9604461753
266,16.0538491665,-0.0408231340,38.9404461753
267,16.0927485701,-0.0411079380,38.9004461753
268,16.1316278351,-0.0414110027,38.8804461753
269,16.1704667932,-0.0417509934,38.8404461753
270,16.2092454894,-0.0421194052,38.7804461753
271,16.2479439714,-0.0425093033,38.7004461753
272,16.2865824114,-0.0429030491,38.6404461753
273,16.3251806974,-0.0433114169,38.6004461753
274,16.3637203556,-0.0435578641,38.5404461753
