run_id,bundle_path,mode,ablation_key,baseline_ref,eval_pass,smoke_pass,verdict_pass,episodes,seed_eval,episode_set,success_rate,stall_rate,mean_progress_final,max_abs_contour_error,half_epsilon,mean_steps,max_steps,trace_rmse_error,trace_max_abs_error,trace_mean_velocity,trace_mean_jerk,trace_mean_kcm_intervention,trace_corner_peak_abs_omega,trace_corner_mean_abs_domega,trace_corner_min_velocity,trace_corner_v_drop_ratio,trace_recovery_mean_abs_error,trace_recovery_outside_rate,trace_corner_count,has_non_finite,git_hash,config_hash,checkpoint_hash,summary_path,summary_raw_path,smoke_path,trace_path
20260104_003215,artifacts\B2a_short\20260104_003215,train,train|kcm=True|smooth=True,PPO_project/artifacts/P0_L2/P0_gold_20251230_034122,True,,True,50,,,1.0,0.0,1.0,0.06382687126113318,0.75,731.0,731,0.027648774353511662,0.06090041943136271,42.48989677749744,19985.115020670357,0.9097893763534425,6.283185307179586,6.623655913978495,0.0,0.0,0.020308942461840854,0.0,3.0,False,973013c53fa6df8fcf32c5a0448d357a342a6725,f3f2e7015917df01942ef449f9df5ccf1ec2c9d075bdb4555311e8468c0c9d3f,2b3f687c3684cbbf6e78a013593698c56e42535163fa830858b7746cae1f237f,artifacts\B2a_short\20260104_003215\eval\run2\summary.json,artifacts\B2a_short\20260104_003215\eval\run2\summary_raw.json,,artifacts\B2a_short\20260104_003215\rollout_det\trace.csv
20260104_015048,artifacts\B2a_short\20260104_015048,train,train|kcm=True|smooth=True,PPO_project/artifacts/P0_L2/P0_gold_20251230_034122,True,,True,50,,,1.0,0.0,1.0,0.06380967918548386,0.75,731.0,731,0.02826640857932496,0.0638509506910836,43.54839018111885,20000.0,0.9035956761344788,6.283185307179586,5.65034965034965,3.926580140597459,0.08834143788861273,0.020732530580035786,0.0,3.0,False,973013c53fa6df8fcf32c5a0448d357a342a6725,af56e17a49dff20bd6242caacce172bfff4bac297c34726630b29dcb5054a013,a3c1e89e1a415377a66fd2de48c620bc7ce7e0fe2c84effbf7fd1124b89a187d,artifacts\B2a_short\20260104_015048\eval\run2\summary.json,artifacts\B2a_short\20260104_015048\eval\run2\summary_raw.json,,artifacts\B2a_short\20260104_015048\rollout_det\trace.csv
20260104_055740,artifacts\B2a\20260104_055740,train,train|kcm=True|smooth=True,PPO_project/artifacts/P0_L2/P0_gold_20251230_034122,True,,True,50,,,1.0,0.0,1.0,0.06481681220523328,0.75,689.0,689,0.028898551235298147,0.0638797751206166,43.78830555195624,20000.0,0.8958769830964406,6.283185307179586,6.532846715328467,4.028240326914195,0.0907830770246935,0.02125184820073156,0.0,3.0,False,973013c53fa6df8fcf32c5a0448d357a342a6725,975c9dbf1ab91d3734d3992d2026f467963e3c87ca93b5bb88dda44e9af6fa2b,899fd5f59d928461e0c6280b7cb670e6b56c4fdabe3cfeb6cdc34c8d6dbb4aab,artifacts\B2a\20260104_055740\eval\run2\summary.json,artifacts\B2a\20260104_055740\eval\run2\summary_raw.json,,artifacts\B2a\20260104_055740\rollout_det\trace.csv
P0_gold_20251230_034122,artifacts\P0_L2\P0_gold_20251230_034122,train,train|kcm=True|smooth=True,,True,True,True,50,42,,1.0,0.0,1.0,0.06469480202631317,0.75,916.7,960,0.030515345944794964,0.06379457379489217,54.35044600178278,19935.10101034224,0.5061246776573661,6.283185307179586,18.5869314669188,5.050605448841465,0.08563681916943465,0.020972308097898632,0.0,3.0,False,44fbb98cd29d7bf42e8d357ec1e960b7df4a5a57,acc75056b1de60643e859cd0526e02387c63cb0fa88eea830028bb4782171a0f,5ad2b6c63fa5f9f9b643fa286e0f661a4224e2a0ef7fc1aedb10e634fbab4df0,artifacts\P0_L2\P0_gold_20251230_034122\eval\run2\summary.json,artifacts\P0_L2\P0_gold_20251230_034122\eval\run2\summary_raw.json,artifacts\P0_L2\P0_gold_20251230_034122\smoke\summary.json,artifacts\P0_L2\P0_gold_20251230_034122\rollout_det\trace.csv
