run_id,bundle_path,trace_path,trace_steps,trace_rmse_error,trace_max_abs_error,trace_mean_velocity,trace_mean_jerk,trace_mean_kcm_intervention,trace_corner_peak_abs_omega,trace_corner_mean_abs_domega,trace_corner_min_velocity,trace_corner_v_drop_ratio,trace_recovery_mean_abs_error,trace_recovery_outside_rate,trace_corner_count
20260104_055740,artifacts\B2a\20260104_055740,artifacts\B2a\20260104_055740\rollout_det\trace.csv,908.0,0.028898551235298147,0.0638797751206166,43.78830555195624,20000.0,0.8958769830964406,6.283185307179586,6.532846715328467,4.028240326914195,0.0907830770246935,0.02125184820073156,0.0,3.0
20260104_194656,artifacts\B2a\20260104_194656,artifacts\B2a\20260104_194656\rollout_det\trace.csv,913.0,0.02821967877831475,0.0638509506910836,43.54838750536114,20000.0,0.9353080676008706,6.283185307179586,7.433566433566433,3.926580140597459,0.0883414395561912,0.020685527232845047,0.0,3.0
20260104_130854,artifacts\B2a_short\20260104_130854,artifacts\B2a_short\20260104_130854\rollout_det\trace.csv,923.0,0.02783149604160662,0.06185771750386948,43.056940771019654,20000.0,0.9379343134783864,6.283185307179586,6.602836879432624,3.6302557993867492,0.08301394308806155,0.020639307391443273,0.0,3.0
P0_gold_20251230_034122,artifacts\P0_L2\P0_gold_20251230_034122,artifacts\P0_L2\P0_gold_20251230_034122\rollout_det\trace.csv,731.0,0.030515345944794964,0.06379457379489217,54.35044600178278,19935.10101034224,0.5061246776573661,6.283185307179586,18.5869314669188,5.050605448841465,0.08563681916943465,0.020972308097898632,0.0,3.0
