step,s_now,dist_to_turn,turn_angle,v_ratio_cap,v_ratio_exec,e_n,omega_exec,dkappa_exec,stall_triggered,progress
1,0.0026703537555513245,9.997329646244449,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,8.901179185171065e-05
2,0.005340707511102649,9.994659292488898,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0001780235837034213
3,0.008011061266653973,9.991988938733346,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0002670353755551319
4,0.010681415022205298,9.989318584977795,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0003560471674068426
5,0.013351768777756621,9.986648231222244,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0004450589592585532
6,0.016022122533307946,9.983977877466693,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0005340707511102638
7,0.01869247628885927,9.981307523711141,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0006230825429619745
8,0.021362830044410593,9.97863716995559,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.000712094334813685
9,0.024033183799961916,9.975966816200039,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0008011061266653957
10,0.02670353755551324,9.973296462444488,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0008901179185171063
11,0.029373891311064562,9.970626108688936,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.000979129710368817
12,0.032044245066615885,9.967955754933383,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0010681415022205274
13,0.03471459882216721,9.965285401177832,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.001157153294072238
14,0.03738495257771853,9.96261504742228,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0012461650859239488
15,0.040055306333269855,9.95994469366673,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0013351768777756592
16,0.04272566008882117,9.957274339911178,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0014241886696273697
17,0.04539601384437251,9.954603986155627,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0015132004614790808
18,0.048066367599923825,9.951933632400076,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.001602212253330791
19,0.05073672135547515,9.949263278644525,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0016912240451825017
20,0.053407075111026464,9.946592924888973,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0017802358370342121
21,0.056077428866577794,9.943922571133422,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.001869247628885923
22,0.05874778262212912,9.94125221737787,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0019582594207376335
23,0.06141813637768044,9.93858186362232,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.002047271212589344
24,0.06408849013323177,9.935911509866768,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.002136283004441055
25,0.0667588438887831,9.933241156111217,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0022252947962927657
26,0.06942919764433443,9.930570802355666,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0023143065881444766
27,0.07209955139988576,9.927900448600115,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0024033183799961875
28,0.07476990515543709,9.925230094844563,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0024923301718478984
29,0.07744025891098842,9.922559741089012,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0025813419636996093
30,0.08011061266653975,9.91988938733346,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.00267035375555132
31,0.08278096642209108,9.91721903357791,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0027593655474030306
32,0.08545132017764241,9.914548679822358,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0028483773392547415
33,0.08812167393319374,9.911878326066807,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0029373891311064524
34,0.09079202768874509,9.909207972311254,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0030264009229581637
35,0.09346238144429642,9.906537618555703,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0031154127148098746
36,0.09613273519984773,9.903867264800152,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.003204424506661585
37,0.09880308895539906,9.9011969110446,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.003293436298513296
38,0.10147344271095039,9.898526557289049,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.003382448090365007
39,0.10414379646650171,9.895856203533498,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.003471459882216717
40,0.10681415022205304,9.893185849777947,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0035604716740684278
41,0.10948450397760437,9.890515496022395,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0036494834659201386
42,0.1121548577331557,9.887845142266844,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0037384952577718495
43,0.11482521148870704,9.885174788511293,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.003827507049623561
44,0.11749556524425837,9.882504434755742,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.003916518841475271
45,0.1201659189998097,9.87983408100019,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004005530633326982
46,0.12283627275536103,9.877163727244639,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004094542425178693
47,0.12550662651091232,9.874493373489088,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004183554217030403
48,0.12817698026646365,9.871823019733537,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004272566008882114
49,0.130847334022015,9.869152665977985,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004361577800733826
50,0.13351768777756634,9.866482312222434,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004450589592585537
51,0.13618804153311767,9.863811958466883,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004539601384437247
52,0.138858395288669,9.861141604711332,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0046286131762889576
53,0.14152874904422033,9.85847125095578,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.0047176249681406685
54,0.14419910279977166,9.85580089720023,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004806636759992379
55,0.146869456555323,9.853130543444678,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.00489564855184409
56,0.14953981031087432,9.850460189689125,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.004984660343695801
57,0.15221016406642565,9.847789835933574,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.005073672135547512
58,0.15488051782197698,9.845119482178022,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.005162683927399223
59,0.1575508715775283,9.842449128422471,1.5707963267948966,0.00039999747353686795,2.670353755551325e-06,0.0,0.0,0.0,0,0.005251695719250934
